"line id verse number","arabic text","english translation text"
"","SAKINA DEKH RAHI HAI","SAKINA IS WATCHING…"
"","GHIRE HAI LAAKHO(N) MEIN KAISE, HUSSAIN BEKASO TANHA,\nSAKINA DEKH RAHI HAI,\nDARE KHAYAM SE RAN MEIN, ULAT KE KHAYME KA PARDA, SAKINA DEKH RAHI HAI","FROM THE ENTRANCE OF THE TENT,\nSAKINA IS WATCHING HOW IMAM HUSSAIN (A.S.) IS ALONE AND SURROUNDED BY THE ENEMY"
"","WO ZIBHA HOTE HUWE BAAP KO NA DEKH SAKE\nMERI SAKINA HAI MASOOM YE KHAYAAL RAHE\nSITAM YE USPE NA DHAANA ABHI CHURI NA CHALANA, SAKINA DEKH RAHI HAI","PLEASE REMEMBER SAKINA IS VERY YOUNG AND INNOCENT,\nDO NOT TORTURE HER BY LETTING HER SEE HER FATHER BEING SLAUGHTERED ON THE PLAINS OF KARBALA"
"","BADAN HAI TEERO(N) SE CHALNI HAI ZAKHM ZAKHM HUSSAIN\nBAPAA HAI KHAYMA-E SARWAR MEIN EK SHORO SHAYN\nKABHI LAEEN KA KHANJAR KABHI WO PYAASA GALA, SAKINA DEKH RAHI HAI","THE BODY OF HUSSAIN (A.S.) IS COVERED IN ARROWS,\nTHE SOUND OF WAILING IS HEARD FROM THE TENTS,\nSOMETIMES THE CURSED ONE’S KNIFE AND SOMETIMES HER FATHER’S THIRSTY THROAT, SAKINA IS WATCHING"
"","GIRA HAI AAG KE SHOLO MEIN KHAYMA-E SARWAR\nHARAM HUSSAIN KE ROTE HAI LUT GAYI CHAADAR\nKABHI PHUPHI KA KHULA SAR KABHI HUSSAIN KA KHAYMA, SAKINA DEKH RAHI HAI","THE TENTS ARE ENGULFED IN FLAMES,\nTHE LADIES OF THE HOLY HOUSEHOLD ARE CRYING AT LOSING THEIR VEILS,\nSOMETIMES SHE SEES ZAINAB WITHOUT HER VEIL AND SOMETIMES SHE WATCHES THE BURNING TENTS"
"","BADAN KE ZAKHMO(N) KA MARHAM KAHI NAHI MILTA\nADOO HUSSAIN KO DETE HAI KIS QADAR IZAA\nJISE BATOOL NE PALA SAR USKA BARSARE NEZA, SAKINA DEKH RAHI HAI","WE DON’T HAVE ANY MEDICINE TO CURE INJURIES, THE ENEMY IS GIVING HUSSAIN (A.S.) SO MUCH PAIN,\nTHE HEAD OF SON OF BATOOL IS ON A SPEAR"
"","TUMHAARE LAASHAA-E BE SAR KO DU(N) KAFAN KAISE\nMUJHE BATAAO ZARA TUM BATOOL KE BETE\nHAI BEKASI KA NATIJA PADHA HAI RET PE LAASHA, SAKINA DEKH RAHI HAI","PLEASE TELL ME O SON OF BATUL, HOW CAN I GIVE A SHROUD TO YOUR HEADLESS BODY,\nWE ARE SO HELPLESS, YOUR BODY IS LYING ON THE GROUND AND WE ARE UNABLE TO BURY,\nSAKINA IS WATCHING"
"","KOI YATIMO PE AISA SITAM NAHI KARTA\nBAS EK BAAR MERA HAAL DEKHLO BABA\nSUNO AY SHAHE ZAMANA KISI NE JO NAHI DEKHA, SAKINA DEKH RAHI HAI","NO ONE OPPRESSES THE ORPHANS IN SUCH A MANNER,\nPLEASE COME AND SEE MY CONDITION, O BABA,\nSAKINA HAS SEEN SCENES WHICH NO ONE ELSE HAS"
"","BAYAAN KARTI THI BINTE HUSSAIN IBNE ALI\nTUMHAARE BAAD MUSIBAT KI INTEHAA DEKHI\nTUMHAARE BAAD YE GHURKI, TUMHAARE BAAD TAMACHA, SAKINA DEKH RAHI HA","BIBI SAKINA USED TO SAY, AFTER YOU LEFT US, WE HAVE ENDURED A LOT OF PAIN,\nWE HAVE BEEN TAUNTED AND SLAPPED, SAKINA HAS WATCHED ALL THIS"
"","NA KHENCH GHURBATE SHABBIR KA KOI MANZAR\nSADAA-E GHAYB YE AATI HAI AJAAE QAISAR\nNAHI HAI ZABT KA YAARA QALAM KO ROK KHUDARA, SAKINA DEKH RAHI HAI","DO NOT DESCRIBE ANY MORE SCENES OF HUSSAIN’S TRIALS,\nA VOICE COMES FROM THE UNSEEN,\nNO MORE PAIN CAN BE ENDURED, SAKINA IS WATCHING"
