"line id verse number","arabic text","english translation text"
"","SURAE KAHF SUNATA HAI YE SAR KISKA HAI","RECITING SURAH KAHF, WHOSE HEAD IS THIS?"
"","KHOON ANKHO SE BAHATA HAI.YE SAR KISKA HAI","CRYING TEARS OF BLOOD, WHOSE HEAD IS THIS?"
"","CHALTE CHALTE JO SAKINA (S.A.) KAHI GIR JATI HAI","WHENEVER SAKINA FALLS WHILE SHE IS WALKING"
"","KHUDKO NAIZE SE GIRATA HAI. YE SAR KISKA HAI","IT THROWS ITSELF OFF THE SPEAR, WHOSE HEAD IS THIS?"
"","JIS TARAF JATA HAI BAZAR ME SAR AKBAR (A.S.) KA","WHICHEVER WAY THE HEAD OF AKBAR GOES IN THE BAZAAR,"
"","US TARAF DEKHTA JATA HAI. YE SAR KISKA HAI","IT KEEPS LOOKING THAT WAY, WHOSE HEAD IS THIS?"
"","RAAT HOTI HAI TO MASOOM SI EK BACHI KO","WHEN IT BECOMES DARK, TO THIS LITTLE INNOCENT GIRL"
"","LORI NAIZE SE SUNATA HAI YE SAR KISKA HAI","IT SINGS LULLABIES FROM THE TOP OF THE SPEAR, WHOSE HEAD IS THIS?"
"","YE SAMA KAASH NA DEKHE KOI KHWAHAR ISKI","IF ONLY ANY SISTER OF HIS WAS NOT PRESENT TO SEE THIS MOMENT"
"","SHIMR (L.A.) ZULFO SE UTHATA HAI YE SAR KISKA HAI","SHIMR IS PICKING IT UP BY ITS HAIR, WHOSE HEAD IS THIS?"
