"line id verse number","arabic text","english translation text"
"","YA ZAINAB - E - KUBRA","O ZAINAB – E – KUBRA"
"","AY BIBI BANIYE AZAA, PEGHAAM KARBALA TERA, JISNE SUNA YAHI KAHA","O YOU WHO STARTED AZADARI,\nWHOEVER HEARD YOUR MESSAGE ABOUT KARBALA, SAID THIS,"
"","YA ZAINAB – E - KUBRA","O ZAINAB – E – KUBRA!"
"","TEGH KHUTBO KI BARSARE DARBAAR, JAISE CHALTI HO HAIDERI TALWAAR, KAT KE GHIRTE THE ZALIMO KE JIGAR, JANG-E-KHAIBER THI YA TERI LALKAAR","THE EFFECT OF YOUR SERMONS IN THE COURT OF YAZID WAS LIKE THE SWORD OF ALI (A.S.) IN THE BATTLEFIELD,\nYOUR SERMONS WOULD CUT UP THE ENEMY FROM INSIDE"
"","AY BIBI BANIYE AZAA, DINE RASOOL BACH GAYA, QURAN KI THI YE SADAA","O YOU WHO STARTED AZADARI,\nTHE RELIGION OF THE PROPHET (PBUH) HAS BEEN SAVED,\nTHIS IS WHAT THE QURAN IS SAYING,"
"","YAAD ATA HAI SHAAM KA MANZAR, BIBI SARPE TERE NA THI CHADAR, HAR TARAF PATHARO KI BAARISH THI, TERI POSHAAAK THI LAHU ME TAR","WE REMEMBER THOSE SCENES OF SHAAM, WHEN YOU WERE WITHOUT YOUR VEIL,\nSTONES WERE BEING PELTED FROM EVERY DIRECTION, YOUR CLOTHES WERE SOAKED IN BLOOD"
"","AY BIBI BANIYE AZAA, SADMA THA YE BOHOT BARAA, ROYA SARE SHAHE HUDAA","O YOU WHO STARTED AZADARI,\nTHIS WAS A HUGE CALAMITY, EVEN THE HEAD OF IMAM HUSSAIN (A.S.) WEPT"
"","TUNE BACHO KI DI HAI QURBANI, HAYE RE TERA ZOKH IMAANI, PYAASE BHAYI KI YAAD ME TUNE, KHUN BAHAYA HAI ANKHE KA PAANI","YOU SACRIFICED YOUR SONS, THIS WAS YOUR HEART’S DESIRE,\nWHEN YOU REMEMBERED YOUR BROTHER’S THIRST, YOU CRIED BLOOD INSTEAD OF TEARS"
"","AY BIBI BANIYE AZAA, YE ZABTA HOSLA TERA, NEZE PE SER PUKAARTA","O YOU WHO STARTED AZADARI,\nYOU WERE THE EPITOME OF PATIENCE,\nTHE HEAD ON THE SPEAR IS SAYING,"
"","TERE DAR PAR YE ISTIGHASA HAI, JO BHI FARSHE AZA PE ROTA HAI, US PE SAYA KARE TERA GHAZI, WO JO MUSHKIL KUSHA KA BETA HAI","WE COME TO YOUR DOOR STEP AND ASK,\nWHOEVER SHEDS TEARS IN A MAJLIS (FARSHE AZA), MAY HAZRAT ABBAS (A.S) PROTECT HIM, WHO IS THE SON OF IMAM ALI (THE SOLVER OF PROBLEMS)"
"","KITNE MAKROOZ MATAMI HAI TERE, KARZA TU GHAIB SE ADAA KARDE, BIBI TU TO SAKHI KI BETI HAI, TU TO MUFLIS KO BAADSHAAH KAR DE","SOME OF YOUR FOLLOWERS ARE IN DEBT, HELP THEM REPAY THEIR DEBTS,\nO BIBI! YOU’RE THE DAUGHTER OF THE GENEROUS ONE, HELP THOSE WHO ARE IN POVERTY"
"","QAID BE JURMA JO HAI MATAMDAAR, MISLE MAZLOOM AABIDE BIMAAR, UNKO AZAADIYO KO TOHFA DE, AAJ TU MISLE HAIDARE KARRAR","THOSE FOLLOWERS OF YOURS WHO HAVE BEEN IMPRISONED UNJUSTLY LIKE IMAM SAJJAD (A.S.),\nGRANT THEM THE GIFT OF FREEDOM, TODAY YOU ARE LIKE IMAM ALI (A.S.)"
"","TERE BHAYI NE JAISE RAHIB KO, SAAT BETE ATAA KIYE PHIRTO, TU BHI HAMSHEER US SAKHI KI HAI, DEDE AWLAAD CHAHIYE JISKO","YOUR BROTHER GRANTED SEVEN SONS TO THE PRIEST,\nYOU ARE THE SISTER OF THAT GENEROUS ONE, SO GRANT CHILDREN TO THOSE WHO DESIRE THEM"
