"line id verse number","arabic text","english translation text"
"","ZAINAB KE SAATH FIZZA\nZAINAB KE SAATH FIZZA HAR GHAM UTHA RAHI HAI","ALONG WITH BIBI ZAINAB, BIBI FIZZA IS ENDURING ALL HARDSHIPS/SUFFERING"
"","EK DUSRE SE DONO AANSO CHUPA RAHIN HAI","BOTH OF THEM ARE HIDING THEIR TEARS FROM EACH OTHER"
"","BAZAR E SHAM ME HE MAJMA SHARABIO KA","THE MARKET OF DAMASCUS IS FULL OF DRUNKARDS"
"","ZAINAB K AGEY AGEY CHAL KAR JANAB E FIZA","JANABE FIZZA IS WALKING IN FRONT OF BIBI ZAINAB…"
"","ZEHRA KI BETIO KA PARDA BANA RAHI HEN","ACTING LIKE A VEIL FOR THE DAUGHTERS OF BIBI ZAHRA"
"","HAR EK QADAM PE DURRE JORO JAFA MUSALSAL","EVERY STEP OF THE WAY, THE PRISONERS ARE WELCOMED BY CONTINUOUS WHIPPING"
"","KUFE KI SHAAM KI HAIN GALIYAN MISAAL E MAQTAL","KUFA AND SHAAM ARE NO LESS THAN A BATTLEFIELD"
"","SHAHZADIYON KI SAANSE RUK RUK KE AARAHI HAI","THE PRINCESSES (OF AHLUL BAYT) ARE UNABLE TO EVEN BREATHE PROPERLY"
"","BAZAAR KI JAFA ME DARBAR KE SITAM ME","FROM HUMILIATION IN THE MARKETS TO TORTURE IN THE PALACE…"
"","FIZZA SHAREEK E GHAM HAI BINTE ALI KE GHAM ME","BIBI FIZZA IS ALONGSIDE THE DAUGHTER OF ALI (A.S), SHARING HER SORROWS"
"","PAYGHAM E KARBALA KO HAR DAM BACHA RAHI HAI","SHE IS SAVING THE MESSAGE OF KERBALA AT EACH AND EVERY OPPORTUNITY"
"","SARWAR KA SAATH JAISE ABBAS NE NIBHAYA","THE WAY ABBAS (A.S) SUPPORTED IMAM HUSSAIN (A.S)…"
"","ZAINAB KA SAATH DEKE FIZZA HAR EK LAMHA","BIBI FIZZA STOOD BY BIBI ZAINAB AT EVERY STEP"
"","HAQ E WAFA NIBHANA SAB KO SIKHA RAHIN HAI","IN THIS WAY, SHE TAUGHT US THE EMBODIMENT OF LOYALTY AND ALLEGIANCE"
"","KARBOBALA KA MAIDAN WOH SHAM HO YA KUFA","WHETHER IT WAS THE PLAINS OF KERBALA, SHAAM OR KUFA…"
"","ZAINAB KO SHAHE DEEN KO CHORA KAHIN NA TANHA","(BIBI FIZZA) NEVER LEFT BIBI ZAINAB (A.S) NOR IMAM HUSSAIN (A.S) ALONE"
"","DEEN E KHUDA KI KHATIR BAZU BANDHA RAHIN HAI","FOR THE SAKE OF GOD’S RELIGION, SHE WAS EVEN READY TO HAVE HER HANDS TIED"
"","HUM RAAHH HAI SAFAR ME SHABIR KI YATIMA","AMONGST THE CARAVAN, THERE IS SHABBIR’S ORPHAN DAUGHTER"
"","FIZZA KO GHAM YEHI HAI BEHAAL HAI SAKINA","THE ONLY GRIEF BIBI FIZZA HAS IS THAT BIBI SAKINA IS NOT AT EASE"
"","BACHI KI SISKIAN BHI DIL KO DUKHA RAHEIN HAI","THE CRIES OF THE LITTLE GIRL ARE ACHING HER HEART CONTINUOUSLY"
"","SALMAN AZMI YEH HAR CHASHME AAM ME HAI","‘SALMAN AZMI’ (POET’S NAME) - NOW IT IS CLEARLY VISIBLE TO THE PUBLIC"
"","ZAINAB KE SAATH INKI TURBAT BHI SHAAM ME HAI","HER RESTING PLACE IS ALONG WITH BIBI ZAINAB IN SHAAM"
"","ZAINAB KA SAATH AB TAK FIZZA NIBHA RAHEIN HAI","TILL THIS DAY, BIBI FIZZA IS LOYAL AND FAITHFUL TO BIBI ZAINAB"
