"line id","urdu transliteration","english translation text"
"[n03:0]","al-e-imran kahan aur zindan kahan
le behan qaid hui 
tu na aya ghazi","From the family of Imran to the prison of Sham
Your sister was taken captive
Yet you did not come, O Ghazi"
"[n03:1]","jab rida sar se chini  mai sada deti rahi
tu na aaya ghazi","When my veil was torn from my head, I kept calling out
Yet you did not come, O Ghazi"
"[n03:2]","1. aagai sham e alam lut gaye ehl e haram
rait per jalti hui hogaya thanda alam
pursa dene ke liye tujh se milne ke liye agaye baba ali
tu na aya ghazi","The evening of sorrow arrived; the Household was plundered
Upon the burning sands, the standard finally fell still
To offer condolences, to meet you once again, even our father Ali came
Yet you did not come, O Ghazi"
"[n03:3]","jab rida sar se chini me sada deti rahi
tou na aaya ghazi","When my veil was torn from my head, I kept calling out
Yet you did not come, O Ghazi"
"[n03:4]","2. dhoop main to tha shajr tujh se abad tha ghar
hai barhana mera sar kiya nahi tujh ko khabar
aye alamdar e wafa us behan ko ba khuda tujhse dharas thi bari
tu na aya ghazi","In the scorching sun, you were my shade; through you our home was secure
Now my head stands uncovered; did you not know?
O standard-bearer of loyalty, by Allah, this sister relied greatly upon you
Yet you did not come, O Ghazi"
"[n03:5]","jab rida sar se chini me sada deti rahi
tou na aaya ghazi","When my veil was torn from my head, I kept calling out
Yet you did not come, O Ghazi"
"[n03:6]","3. kiya kahon sher mere be rida hum ko liye
ye musalman saray shehr dar shehr gaye
khalqat e kufa kabhi khalqat e sham kabhi baraha hum pe hansi
tu na aya ghazi","How can I describe it, my lion? Unveiled, we were taken away
These Muslims paraded us from city to city
The people of Kufa, then the people of Sham, repeatedly laughed at us
Yet you did not come, O Ghazi"
"[n03:7]","jab rida sar se chini me sada deti rahi
tou na aaya ghazi","When my veil was torn from my head, I kept calling out
Yet you did not come, O Ghazi"
"[n03:8]","4. kitni bebas thi behan aye shehanshah e wafa
naam le le ke mera jab ye zalim ne kaha
naaz tha jis pe tujhe ab bulao na usay
aur main roti rahina aya ghazi
tu na aya ghazi","How helpless your sister was, O king of loyalty
When that tyrant kept repeating my name and said
""The one in whom you took such pride—call upon him now""
And I remained weeping; yet you did not come, O Ghazi
Yet you did not come, O Ghazi"
"[n03:9]","jab rida sar se chini me sada deti rahi
tou na aaya ghazi","When my veil was torn from my head, I kept calling out
Yet you did not come, O Ghazi"
"[n03:10]","5. hum ko pani na mile teri khushboo to rahay
tere bazu na katain chahe mashkeza chiday
ye magar ho na saka tere bazu hain juda
mujh pe hai tashna labi na aya ghazi
tu na aaya ghazi","Had we been denied water, at least your fragrance would have remained
If only your arms had not been severed, even if the water-skin was pierced
But this could not be; your blessed arms were cut away
And thirst remained my fate; yet you did not come, O Ghazi
Yet you did not come, O Ghazi"
"[n03:11]","jab rida sar se chini me sada deti rahi
tou na aaya ghazi","When my veil was torn from my head, I kept calling out
Yet you did not come, O Ghazi"
"[n03:12]","6. kya sakina se kahon aye mere dil ke sukoon
haye pani ke liye beh gaya sub tera khoon
abb koi aas nahi tou mere pass nahi
rasi shanoon main bandhi na aya ghazi
tu na aaya ghazi","What shall I say to Sakina, O comfort of my heart?
Alas, all your blood was spilled for the sake of water
Now no hope remains; you are no longer beside me
The ropes are bound around our shoulders; yet you did not come, O Ghazi
Yet you did not come, O Ghazi"
"[n03:13]","jab rida sar se chini me sada deti rahi
tou na aaya ghazi","When my veil was torn from my head, I kept calling out
Yet you did not come, O Ghazi"
