line id verse number,urdu transliteration text,english translation text
,,
,"Jo Hai Shabbir Ki Quwat, Ali Ko Naaz Hai Jis Per
Jisse Zahra Kahe Beta Usse Abbas Kehte Hai","He who is the strength of Shabbir, and is a source of pride for Ali
He is the one who Zahra calls her son, he is known as Abbas"
,"Wafa Jis Ka Parhe Kalma Usse Abbas Kehte Hai
Jise Sajdain Kare Sajda Usse Abbas Kehte Hai","For whom loyalty itself sings praises, he is known as Abbas
For whom prostration itself prostrates, he is known as Abbas"
,"Jhukte hai jahaa shah bhi tera wo aasta
Abbas tere dar sa duniya me dar kahaa'n","This is a place where all kings bow
Like your door Abbas, in this world there is no other door"
,"Tu qamre bani hashim Zahra ki tu dua hai
Saya tere alam ka do jag pe bakhuda hai","You are the moon of the Hashemite, you are the dua of Zahra
The shade of your flag by God, shadows the world too"
,Tere alam ko chumne jhukta hai aasmaa,"To kiss your alam, the sky kneels too…
Abbas tere dar sa duniya me dar kahaa'n Like your door Abbas, in this world there is no other door"
,"Jo bhi khuda se maanga tere alam se paaya
Tere alam ka saya hai kibriya ka saya","All that I asked from Allah from your alam was granted
The shade of your alam is the Divine shade indeed"
,"Kyu na tere alam pe aakar kahe jahaa'n
Abbas tere dar sa duniya me dar kahaa'n","Why wouldn’t creation come plead by your alam?
Like your door Abbas, in this world there is no other door"
,Mushkil kusha ali hai mushkil kusha hai tu bhi,"Ali is one who can ease difficulty, and you are the same
Wo dast e Kibriya hai Rabbe wafa hai tu bhi He is the might of God, you are the God of loyalty"
,Padhte hai Ali waley ye hi manqabat yaha,"Adherents of Ali, in this hymn acclaim…
Abbas tere dar sa duniya me dar kahaa'n Like your door Abbas, in this world there is no other door"
,"Rauze pe tere aake ehsaas ye hua hai
Ye ghar hai Panjetan ka is gharme hi khuda hai","At your shrine indeed these feelings persist
This is the house of the Panjatan, God is present here"
,Sajde me girgaya mai dekar yahi bayaa'n,"In Sajda I fell, after this testimony I gave…
Abbas tere dar sa duniya me dar kahaa'n Like your door Abbas, in this world there is no other door"
,Bedast is sakhi ke dar par jabee'n jhukalo,"Dar Dar bhatakne walo ek baat meri maano Those knocking at all doors, listen to me
At the door of this generous man (with no hands), bow your forehead"
,Be-saakhta kahoge khologe jab zabaa'n,"Outright you shall say when you intend to speak…
Abbas tere dar sa duniya me dar kahaa'n Like your door Abbas, in this world there is no other door"
