line id verse number,urdu transliteration text,english translation text
,Al Madad Maula Raza,"Help me, O my master Reza"
,"*Rozo shab shaamo sahar, Ye wazifa hai mera
Gardishe ayyam me ghir kar mei bilkul choor tha
Trapped in daily miseries, I lay totally shattered","Morn and eve, day and night, this is my recitation"
,"Zindagi se door apne Aap se bhi door tha
Us ghari mujhko tere Dar ka sahara milgaya","Estranged from life, estranged from my own soul
At that time, I got the support of your (generous) door"
,Al Madad Maula Raza,"Help me, O my master Reza"
,"Kon hai dilki muraade jo yaha paata nahi
Aap ke dar se koi bhi khaali haath jaata nahi","Who is it whose deepest wishes are not answered here?
No one is ever turned away empty-handed from your door"
,Humko dar se aapke Auqaat se zyaada mila,We received more than we deserved from your door
,Al Madad Maula Raza,"Help me, O my master Reza"
,"Khalq mei mash’hoor hai mushkil kushaai Aapki
Kar rahe hai jaano dil midhat saraayi Aapki","Your help in distress is known across the world
Our hearts and souls are chanting your lofty praises"
,"Door ho mushkil hamaari
Ai mere mushkil kusha","May all our problems be solved
O solver of my problems"
,Al Madad Maula Raza,"Help me, O my master Reza"
,"Jo tabibo ki nazar mei tha mareeze la ilaaj
De rahi thi maut ko bhi zindagi jis ki khiraaj","The one who, in the eyes of physicians, was incurably diseased
The one whose life was being conveyed to certain death"
,"Wo mareeze la dawa
That incurable patient
Dar par tera acha huwa",Was cured at your door
,Al Madad Maula Raza,"Help me, O my master Reza"
,"Mil nahi sakti mere Maula teri koi misaal
Jaane Ahmed roohe Haider Fatema Zehra ke laaal","O my master! The like of you can never be found
The heart of Ahmed, the soul of Haider, the beloved of Fatema Zehra"
,"Ai Shehen Shaahe Khurasaan
Ibne Shaahe Karbala","O the King of Khurasan!
Son of the King of Karbala"
,Al Madad Maula Raza,"Help me, O my master Reza"
