line id verse number,urdu transliteration text,english translation text
,HAAL E GHAM SUNAENGE JAB IMAM AAYENGE,"When the Imam comes, we will tell him our sorrows"
,ZAKHM DIL DIKHAENGE JAB IMAM AAYENGE,"When The Imam Comes, We Will Open Up Our Hearts."
,MEHFIL E JAMAAENGE JAB IMAM AYENGE,"When The Imam Comes, We Will Celebrate"
,BABODAR SAJAENGE JAB IMAM AAYENGE,"When The Imam Comes, We Will Decorate Our Homes"
,"JASHNE HUM MANAYENGE, JAB IMAM AYENGE","When the Imam comes, we will celebrate"
,ZAKHM HAI ABHI TAAZA MAKKAH AUR MADEENA KE,The Wounds Of Makkah And Madeena Are Still Fresh
,"SHAM O KUFA KARBOBALA HUM BHULA NAHI SAKTE
We cannot forgot Shaam, kufa and Karbala",
,AZ SAKHEEFA TAAI DAM GHAIR SE NAHI POHCHE,"From Saqeefa till today, we have been hurt by our own"
,JITNE DUKH UTHAE HAI HUMNE KALMA GOYO SE,The muslims have wounded us
,EK EK CHUKAENGE..,They will pay for each one
,JAB IMAM AAYENGE,When the Imam comes
,SHAK HAI JINKO ALLAH KE ADL AUR ADAALAT PAR,Those who have doubts on the justice of Allah
,MANSAB E NUBUWAT PAR SAIYADA KI ISMAT PAR,On the status of Prophethood and on the infallibility of Sayyeda
,MURTAZA KI AHMED SE MUTASSIL NIYABAT PAR,On the direct succession of Imam Ali after the Prophet
,JINKO SHAQ HAI BARA PAR BAARWEY KI GHAIBAT PER,Those who doubt about the Imams and the ghaibat of the 12th Imam
,SAB HI MAAR KHAENGE,They will all be punished
,JAB IMAM AAYENGE,When the Imam come
,NAAM PAR SAHABA KE KAAM KAFIRO JAISE,They call themselves companions but their actions are like disbelievers
,NAAM PAR SAHABA KE KAAM FASIQO JAISE,They call themselves companions but their actions are like transgressors
,NAAM PAR SAHABA KE KAAM MUNKIRO JAISE,They call themselves companions but their actions are like the ones who deny
,NAAM PAR SAHABA KE KAAM MUSHRIQO JAISE,They call themselves companions but their actions are like polytheists
,SAB HI MUH CHURAYENGE,They will all hide their faces in embarrasement
,SAB HI MAAR KHAENGE,They will all be punished
,JAB IMAM AAYENGE,When the Imam come
,DAWA E MOHABBAT JO SUBHO SHAAM KARTE HAI,Those who proclaim their love for the Imam day and night
,UNKO DUSHMAN O SE BHI RAAO RASM RAKHTE HAI,Continue to keep good ties with the enemies
,KHUMS BHI NAHI DETE GHEEBATE BHI KARTE HAI,They do not pay Khums and they backbite
,MOMINO SE BHI DIL ME BUGHZ O KEENA RAKHTE HAI,"Even for the momineen, they have hatred in the hearts"
,KISTARAH NIBHAENGE,How will they fulfill their proclamation?
,JAB IMAM AAYENGE,When the Imam come
,JHUT BOLNE KO HUM MASHGALA SAMJHTE HAI,We have made lying our hobby
,"BAAT BAAT PER BEJAAN MASLEHAT BARAKHTE HAI
We endorse our opinion about everything",
,AUR MUNAFIQAT KO BHI MASLEHAT HI KEHTE HAI,We think it is alright to be hypocritical
,LAHVO LAAB KA SAAMAA’N HUM GHARO ME RAKHTE HAIN,Our houses are full of things of futile entertainment
,KISTARAH CHHUPAYENGE?,How will we hide it all?
,JAB IMAM AAYENGE,When the Imam come
,NEMATE SHARIYAT KO BOJH HI SAMJHTE HAI,The blessings of Shariah is considered a burden
,LAHVO LAAB HI KO HUM ZINDAGI SAMAJHTE HAIN,We think futile entertainment is the true life
,SAHIBAN E ZAR KO BADA AADMI SAMAJHTE HAI,We pay more respect to the wealthy people
,TANG DAST MOMIN KO BAS YUHI SAMAJHTE HAI,We do not pay heed to the less fortunate believers
,KYA MAQAAM PAENGE,What will be our status?
,JAB IMAM AAYENGE,When the Imam come
,YE HAMARE MAKRO RIYA SHATIRANA AIYARI,Due to our cunningness and showing off
,KYA HAMARE SAWM O SALAAT AUR YEH AZADARI,"What about our Sawm, Salat and Azadari"
,KITNA HAI KHULUS IN ME KIS KADAR RIYAKARI,How sincere are our actions?
,KYA IMAM KI KHAATIR HUM NE KI HAI TAYYARI?,How have we prepared for the Imam?
,KAISE MUH DIKHAENGE?,How will we face our Imam?
,JAB IMAM AAYENGE,When the Imam come
,AL AJAL JO KEHTE HAIN AGAYE TO KYA HOGA?,"Those who say Al Ajal, if he comes what will happen?"
,KYA HAI APNI TAYYARI PESH HUM KARENGE KYA?,How prepared are we? What will we present to them?
,SIBTE JAFFER APNA TO KUL YAHI HAI SARMAYA,Sibte Jaffer this is our capital
,"Praises, eulogies and salutations",HUMD O NAAT O SOZ O SALAAM AUR MUNQABAT NAUHA
,HAM YAHI SUNAYENGE,Is what we will tell him
,JAB IMAM AAYENGE,When the Imam come
