line id verse number,urdu transliteration text,english translation text
,"KABHI NAJAF SE, KABHI KARBALA
Sometimes from Najaf, sometimes from Karbala
KABHI NAJAF SE, KABHI KARBALA",
,"KABHI NAJAF SE, KABHI KARBALA SE MILTI HAI
Sometimes from Najaf, sometimes from Karbala we get (blessings)",
,KAHAA YEH KISNE TARAQI DUA SE MILTI HAI,Who says success is achieved from Duas alone?
,"BARE AMEER HAI AISE FAQEER DUNYA ME
KABHI NAJAF SE, KABHI KARBALA",The beggars on this earth are wealthy…
,"KE JINKO BHEEK DAR E SAYADA SE MILTI HAI
KABHI NAJAF SE, KABHI KARBALA",Who have received blessings from the door of Sayyada (Bibi Fatima A.S)
,"HUME TO BAAGHE RISALAT KE PHOOL KI KHUSHBOO
KABHI NAJAF SE, KABHI KARBALA",We are able to smell the fragrance of the flowers from the garden of Prophethood
,"QASAM KHUDA KI HADITHE KISA SE MILTI HAI
KABHI NAJAF SE, KABHI KARBALA","By God, Whenever we recite Hadithe Kisa (story of the cloak).."
,"GALE LAGA KE JISSE BHAI KEH RAHE HAI HUSSAIN
KABHI NAJAF SE, KABHI KARBALA",The one who Imam Hussain (A.S) is embracing and calling brother…
,"YEH HUR NAHI HAI FANA HAI BAQA SE MILTI HAI
KABHI NAJAF SE, KABHI KARBALA",He is not Hur…He is someone who was perished when he met the one who is ever-living
,"NUSAIRI HAZRATE ABBAS SE MILA TO KAHA
When a Nusairi met Hazrat Abbas, he said…
KABHI NAJAF SE, KABHI KARBALA",
,"TUMHARI SHAKL HUMAARE KHUDA SE MILTI HAI
KABHI NAJAF SE, KABHI KARBALA",“Your face resembles that of our God”
,"ALI KE ISHQ ME REHAN IZZAT O SHOHRATGHAREEB KHANE PE KHUD MUJH SE AAKE MILTI HAI
KABHI NAJAF SE, KABHI KARBALA","In the love of Ali, respect and reverence……come to me on their own"
