line id verse number,urdu transliteration text,english translation text
,Maula mera ve ghar howay uttay almaan di chaan howay,"Maula there should be a home that I call my own, one in constant shade of an alam"
,"Maula mera ve ghar howay uttay almaan di chaan howay
Mere darwaze te likhya panjaan baara da naa howay","Maula there should be a home that I call my own, one in constant shade of an alam
One where the entrance has the names of the 5 and the 12."
,"Milade mustafa mola me apne ghar karauna ae
Hasan maula da dastarkhaa vede bich sajauna ae","One where I hold the Milad of Muhammad
One where I spread a feast in the name of Maula Hasan"
,Khuwan wa me jitthe langar koi aesi wi tthaa howay,"One where I feed the poor, there should be such an abode"
,Maula mera ve ghar howay uttay almaan di chaan howay,"Maula there should be a home that I call my own, one in constant shade of an alam"
,"Zahur e murtaza teraa rajab nu me manawanga
Mahe shabaan vich har saal sara ghar sajawnaga","The birth of Murtaza on 13th Rajab, I will celebrate
Every year, in the month of Shabaan, my home, I will decorate"
,Aave nauroz khushiyaan da mere ghar vich sama howay,"On the eve of Nauroz, in my home, there shall be celebration"
,Maula mera ve ghar howay uttay almaan di chaan howay,"Maula there should be a home that I call my own, one in constant shade of an alam"
,"vazu akkhiyaan da hojaawe alam di deed jad howay
Kise maulayi momin de dua koi na radd howay
Oh Maula, don't decline any desires of any momin","Oh Maula, My eyes shall do vuzu, when laying the eyes upon the alam"
,Sukhaan da chan rave chadh da dukhaan da har din paraan howay,"The moon of happiness shall continue to shine, the days of sorrow shall remain far away"
,Maula mera ve ghar howay uttay almaan di chaan howay,"Maula there should be a home that I call my own, one in constant shade of an alam"
,"Dua poori howay jis vele o vela wakha maula
Oo din khurshid di tun zindagi te vich reyaa maula","Show me that moment, when He accepts prayers, Oh Maula
Show me the day, in my life, oh Maula"
,Shahidan da zikar howay aayi zainab di maa howay,"When there is commemoration of the Martyrs, Hussain's mother is present"
,Maula mera ve ghar howay uttay almaan di chaan howay,"Maula there should be a home that I call my own, one in constant shade of an alam"
