line id verse number,urdu transliteration text,english translation text
,Qasida - Mustafa (SAW) Ko de Mubarak -,
,"Mustafa (SAW) ko de Mubarak, jisne paayi Fatema (AS)","Give Felicitations to Mustafa (SAW), who was blessed with Fatema (AS)"
,Maatami ko Khuld lene aaj aayi Fatema(AS),She has come today to take the lover of Imam Hussein to Paradise
,Mustafa (SAW) ko de Mubarak,Give Felicitations to Mustafa (SAW) who was blessed with Fatema (AS)
,"Yeh faqat Beti nahi, Hai Hijabe Kibriya (x2)","She is just not the daughter of the Prophet, but is the respect of the Almighty (SWT)"
,"Aye Khadija (SA) Mustafa (SAW) se wafaa ka le sila
Prophet (SAW)",Oh Khadija! do take the reward of Loyalty from the
,Meri hai saari risaalat ki Kamayi Fatema (AS),Fatema (AS) is indeed the fruit of my whole Prophethood.
,Meri hai saari risaalat ki Kamayi Fatema (AS),Fatema (AS) is indeed the fruit of my whole Prophethood.
,Mustafa (SAW) ko de Mubarak,Give Felicitations to Mustafa (SAW) who was blessed with Fatema (AS)
,Ban ke rehmat hai saji ye Nabi (SAW) ke Taaj par,She became the blessing in our Prophet's life
,"Murtaza ki hai bani ye zubaan meraaj par
Murtaza's (AS) voice in Meraj",She has become
,Arsh par pardey ki surat me dikhayi Fatema (AS),"But in this world, she
lived her life in modesty"
,Mustafa (SAW) ko de Mubarak,Give Felicitations to Mustafa (SAW) who was blessed with Fatema (AS)
