line id verse number,urdu transliteration text,english translation text
,Ali Ka Darwaza,
,Hai sheh r e ilm muhamad ali hai darwaza,"Muhammad is the city of knowledge, Ali is its door"
,Kabhi jo shehr ki jaanib jo jana chaahoge,If you ever want to approach the city...
,Qasam khuda ki jo dil me nahi hai hubbe ali,...and do not have the love of Ali in your heart
,To shehr e ilm ka darwaza band paaoge,You will find the gate to the city of knowledge closed!
,"Ali ka darwaza, Ali ka darwaza",This is the door of Ali
,Bhala azeem hai kitna ali ka darwaza,How great is the door of Ali
,Fazeelaton ne bhi dhoonda ali ka darwaza,Even greatness was looking for the door of Ali
,Bhala azeem hai kitna ali ka darwaza,How great is the door of Ali
,"Khare the log bohot intenzaar me lekin
Sitara dekh ke utra ali ka darwaza
People were eagerly waiting in anticipation",But the star only came down to the door of Ali
,Bhala azeem hai kitna ali ka darwaza,How great is the door of Ali
,"Jo dushmanaane ali hai kahaan who jaayenge, Dar e jinna ape hai likha ali ka darwaza","The enemies of Ali, where will they go?
On the door of heaven, it is written, this is the door of Ali!"
,Bhala azeem hai kitna ali ka darwaza,How great is the door of Ali
,"Halaqaton se bachaane ke waste khudko, Fulaan fulaaan ne bhi dhoonda ali ka darwaza","To save themselves from annihilation.
Everyone was looking for the door of Ali"
,Bhala azeem hai kitna ali ka darwaza,How great is the door of Ali
,"Qasam hai khaan e kaaba tere tabasum ki, Khuda ke ghar pe bhi dekha ali ka darwaza","I swear by the ‘smile’ (crack on the wall of the ka’aba) on the Holy Ka’aba. In the house of God also, we saw the door of Ali"
,Bhala azeem hai kitna ali ka darwaza,How great is the door of Ali
,"Nabi ke shehr me tum kis tarha se jaawoge, Ke raaste me parega ali darwaza",How will you enter the city of the Prophet? As you will have to enter through the door of Ali
,Bhala azeem hai kitna ali ka darwaza,How great is the door of Ali
,"Bilal buzar o salmaan sabhi khare the wahaan, Jo maine ghor se dekha ali ka darwaza","Bilal, Abu Dhar, Salman - all were stood there. When I looked closely at the door of Ali"
,Bhala azeem hai kitna ali ka darwaza,How great is the door of Ali
,"Ali ka darwaza, Ali ka darwaza",This is the door of Ali
