line id verse number,urdu transliteration text,english translation text
,Allah Ho Payambar,
,Allah-o-Payambar Ke Madadgar Hain Dono,Both of them are helpers of Allah and the Prophet SAW
,"Quran-o-Ali(AS) Ilm Ka Maiyar Hain Dono
Quran and Ali are Both pinnacles of knowledge",
,Aashiq Mere Mula(AS) Ke Hain Dono Hain Wafadar.,"Both are lovers of my Mawla Ali, and so are they loyal"
,Ik Hazrat-e-Isa(AS) Hain Tu Ik Meesum-e-Tammar(AS),One is Hazrat Isa and the other is Methum e Tammar
,Haider(AS) Ki Muhabbat Mein Sar-e-Daar Hain Dono,Both are punished for the love of Haidar
,Allah-o-Payambar Ke Madadgar Hain Dono,Both of them are helpers of Allah and the Prophet SAW
,"Quran-o-Ali(AS) Ilm Ka Maiyar Hain Dono
Quran and Ali are Both pinnacles of knowledge",
,Khud Kehte Hain Kufar Yeh Daawa Nahi Mera.,This is not my claim but the disbelievers are are also saying this...
,Siffeen Ka Lashkar Ho Ya Ho Ghaat Ka Pehra,Whether it is the army at Siffeen or Karbala
,"Ghazi(AS) Ke Liye rait Ki Deewar Hain Dono.
For Hazrat Abbas, both these tasks are equally straightforward",
,Allah-o-Payambar Ke Madadgar Hain Dono,Both of them are helpers of Allah and the Prophet SAW
,"Quran-o-Ali(AS) Ilm Ka Maiyar Hain Dono
Quran and Ali are Both pinnacles of knowledge",
,Kam Aa Gayi Turbat Mein Meri Ulfat-e-Hasnain(AS),The love of Hassan and Hussain helped me in my grave
,Apne Hi Aqeeday Ke Mile Mujh Ko Naqeerain.,The angels in the grave were of the same Faith as me
,Meri Tarha Mula(AS) Ke Azzadar Hain Dono,"Like me, both of them are azadaar of Imam Hussain"
,Allah-o-Payambar Ke Madadgar Hain Dono,Both of them are helpers of Allah and the Prophet SAW
,"Quran-o-Ali(AS) Ilm Ka Maiyar Hain Dono
Quran and Ali are Both pinnacles of knowledge",
,Fitrus Yehi Kehta Howa Urta Hai Hawa Mein.,Angel Fitrus soars in the sky saying this...
,Kabay Mein Dua Mang Lo Ya Karb-o-Bala Mein.,“Whether you seek your supplications at the Kaabah or in Karbala...
,Shabbir(AS) Shehansha Ke Darbar Hain Dono.,... both these places are palaces of our Emperor Hussain”
,Allah-o-Payambar Ke Madadgar Hain Dono,Both of them are helpers of Allah and the Prophet SAW
,"Quran-o-Ali(AS) Ilm Ka Maiyar Hain Dono
Quran and Ali are Both pinnacles of knowledge",
,Mare Gaye Talwar Se Jab Marhab-o-Antar,When Marhab and Antar were slain by swords
,Ashab-e-Payambar(SAW) Se Kaha Maut Ne Hans Kar,Death itself remarked to the companions of the Prophet...
,Do Aye The Maidan Mein Ab Char Hain Dono,“Two came to the battlefield and now they are split in four!”
,Allah-o-Payambar Ke Madadgar Hain Dono,Both of them are helpers of Allah and the Prophet SAW
,"Quran-o-Ali(AS) Ilm Ka Maiyar Hain Dono
Quran and Ali are Both pinnacles of knowledge",
,Ik Sajda-e-Mabood Se Munh Moor Raha Hai.,One is deterring us from prostrating to The Creator...
,Ik Halqa-e-Matam Se Humein Toor Raha Hai,Another is discouraging us from doing Maatam
,"Tum Kuch Bhi Kaho Asal Mein Ghadar Hain Dono.
Whatever you say, in actuality both are deceitful people",
,Allah-o-Payambar Ke Madadgar Hain Dono,Both of them are helpers of Allah and the Prophet SAW
,"Quran-o-Ali(AS) Ilm Ka Maiyar Hain Dono
Quran and Ali are Both pinnacles of knowledge",
,Ik Hai Shab-e-Mairaj Payambar(SAWW) Se Mokhatib.,One was addressing the Prophet on the night of Mairaaj
,Ik Hai Sar-e-Darbar Sitamgar Se Mokhatib.,One was addressing the oppressors in the palace
,Lehjay Mein Magar Haider-e-Karar Hain Dono,But Both of them are the style and tone of Haider AS
,Allah-o-Payambar Ke Madadgar Hain Dono,Both of them are helpers of Allah and the Prophet SAW
,"Quran-o-Ali(AS) Ilm Ka Maiyar Hain Dono
Quran and Ali are Both pinnacles of knowledge",
,Kante Kabhi Phool Ki Tarha Ho Nahi Sakte,Thorns can never be like the rose
,,"Sote Hain Tu Sone Do Unhein Pas Nabi(SAW) Ke.
If they are sleeping, let them rest besides the Prophet SAW"
,"Yeh Fatima(SA) Zahra Ke Gunahgar Hain Dono
They are both perpetrators of Fatima Zahra",
,Allah-o-Payambar Ke Madadgar Hain Dono,Both of them are helpers of Allah and the Prophet SAW
,"Quran-o-Ali(AS) Ilm Ka Maiyar Hain Dono
Quran and Ali are Both pinnacles of knowledge",
,Abbas(AS) Ke Shagird Ali(AS) Ke Hain Nawasay,They are the students of Abbas and grandchildren of Ali
,,"Maut In Se Hai Darti Yeh Nahi Darte Qaza Se.
Death is afraid of them, not that they are afraid of death"
,Zainab(SA) Ke Pishar Jafar-e-Teyar(AS) Hain Dono.,Both of them are Zainabs sons and Jaffer e Tayyars grandchildren
,Allah-o-Payambar Ke Madadgar Hain Dono,Both of them are helpers of Allah and the Prophet SAW
,"Quran-o-Ali(AS) Ilm Ka Maiyar Hain Dono
Quran and Ali are Both pinnacles of knowledge",
