line id verse number,urdu transliteration text,english translation text
,Haider Hoon Mein Haider,
,Haider hu main haider haider hu main haider,I am Haider! I am Haider!
,Kehte thi ali kufe main ye bar sare mimbar haider hu main haider,Ali used to say this on a Mimbar in Kufa. I am Haider! I am Haider!
,Hairaan hai duniya kyu mere maujizai sun kar,Why is the world stunned by hearing about my miracles?
,"Suraj mere kehne pe bhala kyu na palata
Tara mere dehleez pe kaise na utarta","Why would the sun not turn back on my command?
Why would the stars not descend at my doorstep"
,Maine he jalayi thi bujha deta main yaksar Haider hu main haider,"I caused the day, I caused the night. I am Haider! I am Haider!"
,"Main gaib hu duniya ko ye idraak nahi hai
Hai mujpe kisse naam ka itlaak nahi hai","I am hidden and the world doesn’t realize this
I am not limited by a name of this world"
,"Bus mujko samaj sakte hai Allah ho payembar
Haider hu main haider","I am solely and truly understood by Allah (swt) and the Prophets
I am Haider! I am Haider!"
,"Hai rab ke sadakat ke hawale mere bass main
Quran main Allah ne khaai mere kasame","The Lord’s mercy is in me
Allah (SWT) has sworn by me in the Quran"
,"Laaraib lakab hai mere quran ke andar, Haider hu main haider",Laaraib is my tittle mentioned in the quaran. I am Haider! I am Haider
,"Is baat ke kudrat hai fakat mere kalam main
Tasveer banata hu main madar ke shikham main","This is the power only in my hands
I can picture what is in a mothers woumb"
,"Takhleek pe khaalik ne kiya mujko mukarrar
Haider hu main haider","Allah has given me the responsibility of creation
I am Haider! I am Haider"
,"Jab qatal kiya jaao to main qatal na hunga
Sauw baar bhi maut aayige fir bhi na marunga","Even when killed I will not die
Even if death comes 100 times, I will not die"
,"Baibus hai mere saamne ye maut ka chackar
Haider hu main haider","Death is helpless in front of me
I am Haider! I am Haider"
,"Pohnche sare mairaaj e nabi jis ghadi logo
Bus haath milane ka waha izzn tha mujko","When the Prophet SAW reached the highest point of Meraj
My only desire was to shake his hand"
,"Jee karta tha kehdoo main ye parde se nikal kar
Haider hu main haider","I wanted to reveal to him
I am Haider! I am Haider!"
,"Maa ne kabhi marhab ke ye marhab se kaha tha
Tu lakh bahadur hai magar usse na ladna","A mother gave this loving advice to her loved one,
“May you fight several battles and die but make sure you don’t fight
the one..."
,"Maidan main aajayi agar koi ye kehkar
Haider hu main haider","who comes to the battle field saying:
I am Haider! I am Haider"
,"Tu kisko darate ho yu naam apne batake
Woh aur thi maidan se jo baag gayi thi","Who do you intend to scare with your name (strength)
There were others (cowards) like you who ran away from the battle field"
,"Main aam sahabi nahi aayi marhabo antar
Haider hu main haider","I am no ordinary companion my friends
I am Haider! I am Haider"
,"Jo logo samaj thi hai main wallah nahi hu
Tum jaan lo sab kuch hu main Allah nahi hu","I swear I’m not what people think I am
Know this; I am everything but Allah (swt)"
,"Maabood hai Akbar woh mera khalike Akbar
Haider hu main haider","Divine Is the great one, my great creator
I am Haider! I am Haider"
