line id verse number,urdu transliteration text,english translation text
,Mere Dil Ki Sada,
,Meray Dil Ki Sada Ya Hussain Sab Kaho Marhaba Ya Hussain,"My heart calls out O’ Hussain. Everyone proclaim salutations, O’ Hussain"
,"Uski Nazar Meh Gairat Rahay Gi Jis Nay Kaha Ya Husain
Meray Dil Ki Sada Ya Hussain
My heart calls out O’ Hussain",He would be respected who calls out O’ Hussain
,"Kis Noor Ki Amad  Hui Sajday Meh Hain Fatimah
Har Dour Ka Yazeed Ka Honay Laga Khatimah","Which light is born such that Fatimah is in prostration?
This is the beginning of the demolition of every era’s Yazeed"
,"Karbobala Say Awaz Ayi Lo Agai Ya Hussain
Meray Dil Ki Sada Ya Hussain
My heart calls out O’ Hussain","Karbala cried out, “Here comes my Hussain!”"
,"Masroof Hu Gharoor Meh Ab Koi Beh Dar Nai
Futras Ka Tu Sardar Hai Urnay Meh Hamsar Nai","(Fitrus says): “I am boastful of the fact that there is none like me…”
“…You (Jibreel) are Fitrus’s leader, but not better than me in flight…”"
,"Jibrail Daykho Meray Paru Par Ab Ha Likha Ya Hussain
Meray Dil Ki Sada Ya Hussain
My heart calls out O’ Hussain","“O’ Jibreel, take a look at my wings – it has Ya Hussain written on them now!”"
,"Taqdeer Nay Karwat Ha Li Bass Ik He Raat Meh
Bemar Ka Suraj Taluh Phir Ho Gaya Raat Meh
Hur’s fate changed completely in just one night",It was as though the sun exposed its rays to him at night
,"Khaimeh Kay Dar Par Sar Ko Jhuka Kar Hur Nay Kaha Ya Hussain
Mray Dil Ki Sada Ya Hussain
My heart calls out O’ Hussain","At the entrance of the tent, Hur stood embarrassed, calling out O’Hussain"
,"Woh Hath To Jahan Meh Phir Na Bhikari Huwa, Us Hath Pay Hallal Ka Ab Rizq Jari Huwa",He would never suffer from poverty ever again. He who is blessed with sustenance from the Solver of problems
,"Senay Kay Uper Jo Hath Sunlo Keh Kay Laga Ya Hussain
Meray Dil Ki Sada Ya Hussain
My heart calls out O’ Hussain",Those who sincerely call out O’Hussain
