line id verse number,urdu transliteration text,english translation text
,Mubarak Ho,
,Lagate haideri nare hai chehre muskurate hai,"The chant Nara e Haideri, with a smile ontheir faces"
,Ali ke chahne waale khushi aise manate hai,"The lovers of Ali, celebrate in this manner"
,Jahaan shadi ki mehfil ho qaside hum sunate hai,"Wherever there is a wedding, we will recite praises (of the Ahlul Bayt)"
,Humaari bandagi mola humari zindagi mola,"Our devotion, our lives o Master"
,Nabi ne kehdiya mola jisse bas hai wohi mola,"Whoever the prophet said was ‘Mawla, is the only Master!"
,Sikhaya maa ne apni lorio me ya ali mola,Our mothers in their stories taught us ‘Ya Ali Mola’
,Ghadeere khum ka kissa apne bachon ko sunate hai,These mothers have taught the event of Ghadeer to their children
,"Jo kehlata hai momin, karbala ka hai wo bashinda",The one who is called a Momin sees Karbala as his home
,"mazalim kai mukabil, khoon se rehta hai payinda",Against the oppressor he will always remain steadfast
,"Ali par jaan dekar, ye hamesha hogaye zinda","They gave their lives in the name of Ali, but in reality, they are alive"
,"shaheedo k to chehre bhi,(2) kafan me muskurate he","The martyrs faces are smiling, even when they are in a kafan"
,Wila waale yahan per hai wali ka zikr lazim hai,"The people of ‘Wila’ (Wilayah) are here, so the zikr of the ‘Wali’ (Ali) is obligatory"
,Khuda waale yahan par hai nabi ka zikr lazim hai,"The people of God are here, so the zikr of the Prophet is obligatory"
,"Ali waale ki shadi hai, Ali ka zikr lazim hai",This is the wedding of a lover of Ali - the zikr of Ali is obligatory
,"Koi milad karte hain, koi mehfil sajaate hain",We are celebrating by praising the Ahlul Bayt (as) and by decorating the mosque
,"Koi apni khushi ho, panjtan ko shaad rakhte rakhte hain","Whenever we celebrate our happiness, we involve the Ahlul Bayt"
,Charagh akar ke hum farshe wila Abaad rakhte hain,We come and adorn the ‘farsh’ of wilaaya
,Wo mehfil ho ke majlis karbala ko yaad rakhte hain,"Whether it is a mehfil or a majlis, we always remember Karbala"
,Mubarakbad dene ke liye Jibreel aate hai,"Today, Jibrael has come to give his congratulations"
,Mubarak ho yeh shadi bas dua hai yeh meri mola,We pray that this union remains blessed
,Khatija aur hasan ko rehmaton se bhar mere Allah,Shower Khatija and Hasan with your mercy o my Lord
,Ali ke ishq me sarshaar ho har dum haseen dulha,May the groom forever have the love of Ali in his heart
,Ataa ho teri rehmat se dulhan ko seerate Zahra,May the bride follow in the footsteps of Zahra
,Yahan dunya mein aur janat mein bhi qayim rahe rishta,May this union remain strong in this world and in the hereafter
,Mohabat inme ho bas misle hubbe adam o hawa,May their love be like the love of Adam and Hawa
,Hai ek nemat to ek rehmat qamar beti ho ya beta,May they be blessed with righteous children
,Bane awlaad inki nasiraane lashkar e mola,May these children be the helpers of the Imam of our time
,Utha kar haath hum safdar duaein dete jaate hain,We raise our hands and continue to pray for them
