line id verse number,arabic text,english translation text
[19:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
Maryam – Mary"
[19:1],كهيعص,"Kaf, Ha, Ya, ‘Ayn, Suad.
Maryam – Mary"
[19:2],ذِكْرُ رَحْمَتِ رَبِّكَ عَبْدَهُ زَكَرِيَّا,"[This is] an account of your Lord’s mercy on His servant, Zechariah,
Maryam – Mary"
[19:3],إِذْ نَادَىٰ رَبَّهُ نِدَاءً خَفِيًّا,"when he called out to his Lord with a secret cry.
Maryam – Mary"
[19:4],قَالَ رَبِّ إِنِّي وَهَنَ الْعَظْمُ مِنِّي وَاشْتَعَلَ الرَّأْسُ شَيْبًا وَلَمْ أَكُن بِدُعَائِكَ رَبِّ شَقِيًّا,"He said, ‘My Lord! Indeed my bones have become feeble, and my head has turned white with age, yet never have I, my Lord, been disappointed in supplicating You!
Maryam – Mary"
[19:5],وَإِنِّي خِفْتُ الْمَوَالِيَ مِن وَرَائِي وَكَانَتِ امْرَأَتِي عَاقِرًا فَهَبْ لِي مِن لَّدُنكَ وَلِيًّا,"Indeed I fear my kinsmen, after me, and my wife is barren. So grant me from Yourself an heir
Maryam – Mary"
[19:6],يَرِثُنِي وَيَرِثُ مِنْ آلِ يَعْقُوبَ ۖ وَاجْعَلْهُ رَبِّ رَضِيًّا,"who may inherit from me and inherit from the House of Jacob, and make him, my Lord, pleasing [to You]!’
Maryam – Mary"
[19:7],يَا زَكَرِيَّا إِنَّا نُبَشِّرُكَ بِغُلَامٍ اسْمُهُ يَحْيَىٰ لَمْ نَجْعَل لَّهُ مِن قَبْلُ سَمِيًّا,"‘O Zechariah! Indeed We give you the good news of a son, whose name is ‘‘John.’’ Never before have We made anyone his namesake.’
Maryam – Mary"
[19:8],قَالَ رَبِّ أَنَّىٰ يَكُونُ لِي غُلَامٌ وَكَانَتِ امْرَأَتِي عَاقِرًا وَقَدْ بَلَغْتُ مِنَ الْكِبَرِ عِتِيًّا,"He said, ‘My Lord! How shall I have a son, when my wife is barren, and I am already advanced in age?’
Maryam – Mary"
[19:9],قَالَ كَذَٰلِكَ قَالَ رَبُّكَ هُوَ عَلَيَّ هَيِّنٌ وَقَدْ خَلَقْتُكَ مِن قَبْلُ وَلَمْ تَكُ شَيْئًا,"He said, ‘So shall it be. Your Lord has said, ‘‘It is simple for Me.’’ Certainly I created you before when you were nothing.’
Maryam – Mary"
[19:10],قَالَ رَبِّ اجْعَل لِّي آيَةً ۚ قَالَ آيَتُكَ أَلَّا تُكَلِّمَ النَّاسَ ثَلَاثَ لَيَالٍ سَوِيًّا,"He said, ‘My Lord! Appoint a sign for me.’ He said, ‘Your sign is that you will not speak to the people for three complete nights.’
Maryam – Mary"
[19:11],فَخَرَجَ عَلَىٰ قَوْمِهِ مِنَ الْمِحْرَابِ فَأَوْحَىٰ إِلَيْهِمْ أَن سَبِّحُوا بُكْرَةً وَعَشِيًّا,"So he emerged before his people from the Temple, and signalled to them that they should glorify [Allah] morning and evening.
Maryam – Mary"
[19:12],يَا يَحْيَىٰ خُذِ الْكِتَابَ بِقُوَّةٍ ۖ وَآتَيْنَاهُ الْحُكْمَ صَبِيًّا,"‘O John!’ [We said,] ‘Hold on with power to the Book!’ And We gave him judgement while still a child,
Maryam – Mary"
[19:13],وَحَنَانًا مِّن لَّدُنَّا وَزَكَاةً ۖ وَكَانَ تَقِيًّا,"and a compassion and purity from Us. He was Godwary
Maryam – Mary"
[19:14],وَبَرًّا بِوَالِدَيْهِ وَلَمْ يَكُن جَبَّارًا عَصِيًّا,"and good to his parents, and was not self-willed or disobedient.
Maryam – Mary"
[19:15],وَسَلَامٌ عَلَيْهِ يَوْمَ وُلِدَ وَيَوْمَ يَمُوتُ وَيَوْمَ يُبْعَثُ حَيًّا,"Peace be to him, the day he was born, and the day he dies, and the day he is raised alive!
Maryam – Mary"
[19:16],وَاذْكُرْ فِي الْكِتَابِ مَرْيَمَ إِذِ انتَبَذَتْ مِنْ أَهْلِهَا مَكَانًا شَرْقِيًّا,"And mention in the Book Mary, when she withdrew from her family to an easterly place.
Maryam – Mary"
[19:17],فَاتَّخَذَتْ مِن دُونِهِمْ حِجَابًا فَأَرْسَلْنَا إِلَيْهَا رُوحَنَا فَتَمَثَّلَ لَهَا بَشَرًا سَوِيًّا,"Thus did she seclude herself from them, whereupon We sent to her Our Spirit and he became incarnate for her as a well-proportioned human.
Maryam – Mary"
[19:18],قَالَتْ إِنِّي أَعُوذُ بِالرَّحْمَٰنِ مِنكَ إِن كُنتَ تَقِيًّا,"She said, ‘I seek the protection of the All-beneficent from you, should you be Godwary!’
Maryam – Mary"
[19:19],قَالَ إِنَّمَا أَنَا رَسُولُ رَبِّكِ لِأَهَبَ لَكِ غُلَامًا زَكِيًّا,"He said, ‘I am only a messenger of your Lord that I may give you a pure son.’
Maryam – Mary"
