line id verse number,arabic text,english translation text
[38:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
Saad– Saad"
[38:1],ص ۚ وَالْقُرْآنِ ذِي الذِّكْرِ,"Suad. By the Quran bearing the Reminder,
Saad– Saad"
[38:2],بَلِ الَّذِينَ كَفَرُوا فِي عِزَّةٍ وَشِقَاقٍ,"the faithless indeed dwell in conceit and defiance.
Saad– Saad"
[38:3],كَمْ أَهْلَكْنَا مِن قَبْلِهِم مِّن قَرْنٍ فَنَادَوا وَّلَاتَ حِينَ مَنَاصٍ,"How many a generation We have destroyed before them! They cried out [for help], but gone was the time for escape.
Saad– Saad"
[38:4],وَعَجِبُوا أَن جَاءَهُم مُّنذِرٌ مِّنْهُمْ ۖ وَقَالَ الْكَافِرُونَ هَٰذَا سَاحِرٌ كَذَّابٌ,"They consider it odd that there should come to them a warner from among themselves, and the faithless say, ‘This is a magician, a mendacious liar.’
Saad– Saad"
[38:5],أَجَعَلَ الْآلِهَةَ إِلَٰهًا وَاحِدًا ۖ إِنَّ هَٰذَا لَشَيْءٌ عُجَابٌ,"‘Has he reduced the gods to one god? This is indeed an odd thing!’
Saad– Saad"
[38:6],وَانطَلَقَ الْمَلَأُ مِنْهُمْ أَنِ امْشُوا وَاصْبِرُوا عَلَىٰ آلِهَتِكُمْ ۖ إِنَّ هَٰذَا لَشَيْءٌ يُرَادُ,"Their elite go about [urging others]: ‘Go and stand by your gods! This is indeed the desirable thing [to do].
Saad– Saad"
[38:7],مَا سَمِعْنَا بِهَٰذَا فِي الْمِلَّةِ الْآخِرَةِ إِنْ هَٰذَا إِلَّا اخْتِلَاقٌ,"We did not hear of this in the latter-day creed. This is nothing but a fabrication.
Saad– Saad"
[38:8],أَأُنزِلَ عَلَيْهِ الذِّكْرُ مِن بَيْنِنَا ۚ بَلْ هُمْ فِي شَكٍّ مِّن ذِكْرِي ۖ بَل لَّمَّا يَذُوقُوا عَذَابِ,"Has the Reminder been sent down to him out of [all of] us?’ Indeed, they are in doubt concerning My Reminder. Indeed, they have not yet tasted My punishment.
Saad– Saad"
[38:9],أَمْ عِندَهُمْ خَزَائِنُ رَحْمَةِ رَبِّكَ الْعَزِيزِ الْوَهَّابِ,"Do they possess the treasuries of the mercy of your Lord, the All-mighty, the All-munificent?
Saad– Saad"
[38:10],أَمْ لَهُم مُّلْكُ السَّمَاوَاتِ وَالْأَرْضِ وَمَا بَيْنَهُمَا ۖ فَلْيَرْتَقُوا فِي الْأَسْبَابِ,"Do they own the kingdom of the heavens and the earth and whatever is between them? [If so,] let them ascend [to the higher spheres] by the means [of ascension].
Saad– Saad"
[38:11],جُندٌ مَّا هُنَالِكَ مَهْزُومٌ مِّنَ الْأَحْزَابِ,"[They are but] a host routed out there of the factions.
Saad– Saad"
[38:12],كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ وَعَادٌ وَفِرْعَوْنُ ذُو الْأَوْتَادِ,"Before them Noah’s people impugned [their apostle] and [so did the people of] ‘Ad, and Pharaoh, the Impaler [of his victims],
Saad– Saad"
[38:13],وَثَمُودُ وَقَوْمُ لُوطٍ وَأَصْحَابُ الْأَيْكَةِ ۚ أُولَٰئِكَ الْأَحْزَابُ,"and Thamud, and the people of Lot, and the inhabitants of Aykah: those were the factions.
Saad– Saad"
[38:14],إِن كُلٌّ إِلَّا كَذَّبَ الرُّسُلَ فَحَقَّ عِقَابِ,"There was not any one but such as impugned the apostles; so My retribution became due [against them].
Saad– Saad"
[38:15],وَمَا يَنظُرُ هَٰؤُلَاءِ إِلَّا صَيْحَةً وَاحِدَةً مَّا لَهَا مِن فَوَاقٍ,"These [too] do not await but a single Cry, which will not grant [them] any respite.
Saad– Saad"
[38:16],وَقَالُوا رَبَّنَا عَجِّل لَّنَا قِطَّنَا قَبْلَ يَوْمِ الْحِسَابِ,"They say, ‘Our Lord! Hasten on for us our share before the Day of Reckoning.’
Saad– Saad"
[38:17],اصْبِرْ عَلَىٰ مَا يَقُولُونَ وَاذْكُرْ عَبْدَنَا دَاوُودَ ذَا الْأَيْدِ ۖ إِنَّهُ أَوَّابٌ,"Be patient over what they say, and remember Our servant, David, [the man] of strength. Indeed he was a penitent [soul].
Saad– Saad"
[38:18],إِنَّا سَخَّرْنَا الْجِبَالَ مَعَهُ يُسَبِّحْنَ بِالْعَشِيِّ وَالْإِشْرَاقِ,"We disposed the mountains to glorify [Allah] with him at evening and dawn,
Saad– Saad"
