line id verse number,arabic text,english translation text
[53:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
At Tur – The Mount"
[53:1],وَالنَّجْمِ إِذَا هَوَىٰ,"By the star when it sets:
An Najm – The Star"
[53:2],مَا ضَلَّ صَاحِبُكُمْ وَمَا غَوَىٰ,"your companion has neither gone astray, nor amiss.
An Najm – The Star"
[53:3],وَمَا يَنطِقُ عَنِ الْهَوَىٰ,"Nor does he speak out of [his own] desire:
An Najm – The Star"
[53:4],إِنْ هُوَ إِلَّا وَحْيٌ يُوحَىٰ,"it is just a revelation that is revealed [to him],
An Najm – The Star"
[53:5],عَلَّمَهُ شَدِيدُ الْقُوَىٰ,"taught him by one of great powers,
An Najm – The Star"
[53:6],ذُو مِرَّةٍ فَاسْتَوَىٰ,"possessed of sound judgement. He settled,
An Najm – The Star"
[53:7],وَهُوَ بِالْأُفُقِ الْأَعْلَىٰ,"while he was on the highest horizon.
An Najm – The Star"
[53:8],ثُمَّ دَنَا فَتَدَلَّىٰ,"Then he drew nearer and nearer
An Najm – The Star"
[53:9],فَكَانَ قَابَ قَوْسَيْنِ أَوْ أَدْنَىٰ,"until he was within two bows’ length or even nearer,
An Najm – The Star"
[53:10],فَأَوْحَىٰ إِلَىٰ عَبْدِهِ مَا أَوْحَىٰ,"whereat He revealed to His servant whatever He revealed.
An Najm – The Star"
[53:11],مَا كَذَبَ الْفُؤَادُ مَا رَأَىٰ,"The heart did not deny what it saw.
An Najm – The Star"
[53:12],أَفَتُمَارُونَهُ عَلَىٰ مَا يَرَىٰ,"Will you then dispute with him about what he saw?!
An Najm – The Star"
[53:13],وَلَقَدْ رَآهُ نَزْلَةً أُخْرَىٰ,"Certainly he saw it yet another time,
An Najm – The Star"
[53:14],عِندَ سِدْرَةِ الْمُنتَهَىٰ,"by the Lote Tree of the Ultimate Boundary,
An Najm – The Star"
[53:15],عِندَهَا جَنَّةُ الْمَأْوَىٰ,"near which is the Garden of the Abode,
An Najm – The Star"
[53:16],إِذْ يَغْشَى السِّدْرَةَ مَا يَغْشَىٰ,"when there covered the Lote Tree what covered it.
An Najm – The Star"
[53:17],مَا زَاغَ الْبَصَرُ وَمَا طَغَىٰ,"His gaze did not swerve, nor did it overstep the bounds.
An Najm – The Star"
[53:18],لَقَدْ رَأَىٰ مِنْ آيَاتِ رَبِّهِ الْكُبْرَىٰ,"Certainly he saw some of the greatest signs of his Lord.
An Najm – The Star"
[53:19],أَفَرَأَيْتُمُ اللَّاتَ وَالْعُزَّىٰ,"Have you considered Lat and ‘Uzza?
An Najm – The Star"
[53:20],وَمَنَاةَ الثَّالِثَةَ الْأُخْرَىٰ,"and Manat, the third one?
An Najm – The Star"
[53:21],أَلَكُمُ الذَّكَرُ وَلَهُ الْأُنثَىٰ,"Are you to have males and He females?
An Najm – The Star"
[53:22],تِلْكَ إِذًا قِسْمَةٌ ضِيزَىٰ,"That, then, will be an unfair division!
An Najm – The Star"
[53:23],إِنْ هِيَ إِلَّا أَسْمَاءٌ سَمَّيْتُمُوهَا أَنتُمْ وَآبَاؤُكُم مَّا أَنزَلَ اللَّهُ بِهَا مِن سُلْطَانٍ ۚ إِن يَتَّبِعُونَ إِلَّا الظَّنَّ وَمَا تَهْوَى الْأَنفُسُ ۖ وَلَقَدْ جَاءَهُم مِّن رَّبِّهِمُ الْهُدَىٰ,"These are but names, which you have coined—you and your fathers—for which Allah has not sent down any authority. They follow nothing but conjectures and the desires of the [lower] soul, while there has already come to them the guidance from their Lord.
An Najm – The Star"
[53:24],أَمْ لِلْإِنسَانِ مَا تَمَنَّىٰ,"Shall man have whatever he yearns for?
An Najm – The Star"
[53:25],فَلِلَّهِ الْآخِرَةُ وَالْأُولَىٰ,"Yet to Allah belong this world and the Hereafter.
An Najm – The Star"
[53:26],وَكَم مِّن مَّلَكٍ فِي السَّمَاوَاتِ لَا تُغْنِي شَفَاعَتُهُمْ شَيْئًا إِلَّا مِن بَعْدِ أَن يَأْذَنَ اللَّهُ لِمَن يَشَاءُ وَيَرْضَىٰ,"How many an angel there is in the heavens whose intercession is of not any avail, except after Allah permits whomever He wishes and approves of!
An Najm – The Star"
[53:27],إِنَّ الَّذِينَ لَا يُؤْمِنُونَ بِالْآخِرَةِ لَيُسَمُّونَ الْمَلَائِكَةَ تَسْمِيَةَ الْأُنثَىٰ,"Indeed those who do not believe in the Hereafter give female names to the angels.
An Najm – The Star"
[53:28],وَمَا لَهُم بِهِ مِنْ عِلْمٍ ۖ إِن يَتَّبِعُونَ إِلَّا الظَّنَّ ۖ وَإِنَّ الظَّنَّ لَا يُغْنِي مِنَ الْحَقِّ شَيْئًا,"They do not have any knowledge of that. They follow nothing but conjectures, and conjecture is no substitute for the truth.
An Najm – The Star"
[53:29],فَأَعْرِضْ عَن مَّن تَوَلَّىٰ عَن ذِكْرِنَا وَلَمْ يُرِدْ إِلَّا الْحَيَاةَ الدُّنْيَا,"So avoid those who turn away from Our remembrance and desire nothing but the life of the world.
An Najm – The Star"
[53:30],ذَٰلِكَ مَبْلَغُهُم مِّنَ الْعِلْمِ ۚ إِنَّ رَبَّكَ هُوَ أَعْلَمُ بِمَن ضَلَّ عَن سَبِيلِهِ وَهُوَ أَعْلَمُ بِمَنِ اهْتَدَىٰ,"That is the ultimate reach of their knowledge. Indeed your Lord knows best those who stray from His way, and He knows best those who are [rightly] guided.
An Najm – The Star"
[53:31],وَلِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ لِيَجْزِيَ الَّذِينَ أَسَاءُوا بِمَا عَمِلُوا وَيَجْزِيَ الَّذِينَ أَحْسَنُوا بِالْحُسْنَى,"To Allah belongs whatever is in the heavens and whatever is in the earth, that He may requite those who do evil for what they have done, and reward those who do good with the best [of rewards].
An Najm – The Star"
[53:32],الَّذِينَ يَجْتَنِبُونَ كَبَائِرَ الْإِثْمِ وَالْفَوَاحِشَ إِلَّا اللَّمَمَ ۚ إِنَّ رَبَّكَ وَاسِعُ الْمَغْفِرَةِ ۚ,"Those who avoid major sins and indecencies, apart from [minor and occasional] lapses. Indeed your Lord is expansive in [His] forgiveness.
An Najm – The Star"
[53:32],هُوَ أَعْلَمُ بِكُمْ إِذْ أَنشَأَكُم مِّنَ الْأَرْضِ وَإِذْ أَنتُمْ أَجِنَّةٌ فِي بُطُونِ أُمَّهَاتِكُمْ ۖ فَلَا تُزَكُّوا أَنفُسَكُمْ ۖ هُوَ أَعْلَمُ بِمَنِ اتَّقَىٰ,"He knows you best since [the time] He produced you from the earth and since you were foetuses in the bellies of your mothers. So do not flaunt your piety: He knows best those who are Godwary.
An Najm – The Star"
[53:33],أَفَرَأَيْتَ الَّذِي تَوَلَّىٰ,"Did you see him who turned away,
An Najm – The Star"
[53:34],وَأَعْطَىٰ قَلِيلًا وَأَكْدَىٰ,"gave a little and held off?
An Najm – The Star"
[53:35],أَعِندَهُ عِلْمُ الْغَيْبِ فَهُوَ يَرَىٰ,"Does he have the knowledge of the Unseen so that he sees?
An Najm – The Star"
[53:36],أَمْ لَمْ يُنَبَّأْ بِمَا فِي صُحُفِ مُوسَىٰ,"Has he not been informed of what is in the scriptures of Moses,
An Najm – The Star"
[53:37],وَإِبْرَاهِيمَ الَّذِي وَفَّىٰ,"and of Abraham, who fulfilled [his summons]:
An Najm – The Star"
[53:38],أَلَّا تَزِرُ وَازِرَةٌ وِزْرَ أُخْرَىٰ,"that no bearer shall bear another’s burden,
An Najm – The Star"
[53:39],وَأَن لَّيْسَ لِلْإِنسَانِ إِلَّا مَا سَعَىٰ,"that nothing belongs to man except what he strives for,
An Najm – The Star"
[53:40],وَأَنَّ سَعْيَهُ سَوْفَ يُرَىٰ,"and that he will soon be shown his endeavour,
An Najm – The Star"
[53:41],ثُمَّ يُجْزَاهُ الْجَزَاءَ الْأَوْفَىٰ,"then he will be rewarded for it with the fullest reward;
An Najm – The Star"
[53:42],وَأَنَّ إِلَىٰ رَبِّكَ الْمُنتَهَىٰ,"that the terminus is toward your Lord,
An Najm – The Star"
[53:43],وَأَنَّهُ هُوَ أَضْحَكَ وَأَبْكَىٰ,"that it is He who makes [men] laugh, and weep,
An Najm – The Star"
[53:44],وَأَنَّهُ هُوَ أَمَاتَ وَأَحْيَا,"that it is He who brings death and gives life,
An Najm – The Star"
[53:45],وَأَنَّهُ خَلَقَ الزَّوْجَيْنِ الذَّكَرَ وَالْأُنثَىٰ,"that it is He who created the mates, the male and the female,
An Najm – The Star"
[53:46],مِن نُّطْفَةٍ إِذَا تُمْنَىٰ,"from a drop of [seminal] fluid when emitted;
An Najm – The Star"
[53:47],وَأَنَّ عَلَيْهِ النَّشْأَةَ الْأُخْرَىٰ,"that with Him lies the second genesis,
An Najm – The Star"
[53:48],وَأَنَّهُ هُوَ أَغْنَىٰ وَأَقْنَىٰ,"that it is He who enriches and grants possessions,
An Najm – The Star"
[53:49],وَأَنَّهُ هُوَ رَبُّ الشِّعْرَىٰ,"that it is He who is the Lord of Sirius;
An Najm – The Star"
[53:50],وَأَنَّهُ أَهْلَكَ عَادًا الْأُولَىٰ,"that it is He who destroyed the former ‘Ad,
An Najm – The Star"
[53:51],وَثَمُودَ فَمَا أَبْقَىٰ,"and Thamud, sparing none [of them];
An Najm – The Star"
[53:52],وَقَوْمَ نُوحٍ مِّن قَبْلُ ۖ إِنَّهُمْ كَانُوا هُمْ أَظْلَمَ وَأَطْغَىٰ,"and the people of Noah before that; indeed they were more unjust and rebellious;
An Najm – The Star"
[53:53],وَالْمُؤْتَفِكَةَ أَهْوَىٰ,"and He overthrew the town that was overturned,
An Najm – The Star"
[53:54],فَغَشَّاهَا مَا غَشَّىٰ,"covering it with what covered it.
An Najm – The Star"
[53:55],فَبِأَيِّ آلَاءِ رَبِّكَ تَتَمَارَىٰ,"Then which of the bounties of your Lord will you dispute?
An Najm – The Star"
[53:56],هَٰذَا نَذِيرٌ مِّنَ النُّذُرِ الْأُولَىٰ,"This is a warner, [in the tradition] of the warners of old.
An Najm – The Star"
[53:57],أَزِفَتِ الْآزِفَةُ,"The Imminent [Hour] is near at hand.
An Najm – The Star"
[53:58],لَيْسَ لَهَا مِن دُونِ اللَّهِ كَاشِفَةٌ,"There is none who may unveil it besides Allah.
An Najm – The Star"
[53:59],أَفَمِنْ هَٰذَا الْحَدِيثِ تَعْجَبُونَ,"Will you then wonder at this discourse,
An Najm – The Star"
[53:60],وَتَضْحَكُونَ وَلَا تَبْكُونَ,"and laugh and not weep,
An Najm – The Star"
[53:61],وَأَنتُمْ سَامِدُونَ,"while you remain heedless?!
An Najm – The Star"
[53:62],فَاسْجُدُوا لِلَّهِ وَاعْبُدُوا ۩,"So prostrate yourselves to Allah and worship Him!
An Najm – The Star
WAJIB SAJADH"
