line id verse number,arabic text,english translation text
[55:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
Ar Rahman – The Beneficent"
[55:1],الرَّحْمَٰنُ,"The All-beneficent
Ar Rahman – The Beneficent"
[55:2],عَلَّمَ الْقُرْآنَ,"has taught the Quran.
Ar Rahman – The Beneficent"
[55:3],خَلَقَ الْإِنسَانَ,"He created man,
Ar Rahman – The Beneficent"
[55:4],عَلَّمَهُ الْبَيَانَ,"[and] taught him articulate speech.
Ar Rahman – The Beneficent"
[55:5],الشَّمْسُ وَالْقَمَرُ بِحُسْبَانٍ,"The sun and the moon are [disposed] calculatedly,
Ar Rahman – The Beneficent"
[55:6],وَالنَّجْمُ وَالشَّجَرُ يَسْجُدَانِ,"and the herb and the tree prostrate [to Allah].
Ar Rahman – The Beneficent"
[55:7],وَالسَّمَاءَ رَفَعَهَا وَوَضَعَ الْمِيزَانَ,"He raised the heaven high and set up the balance,
Ar Rahman – The Beneficent"
[55:8],أَلَّا تَطْغَوْا فِي الْمِيزَانِ,"declaring, ‘Do not infringe the balance!
Ar Rahman – The Beneficent"
[55:9],وَأَقِيمُوا الْوَزْنَ بِالْقِسْطِ وَلَا تُخْسِرُوا الْمِيزَانَ,"Maintain the weights with justice, and do not shorten the balance!’
Ar Rahman – The Beneficent"
[55:10],وَالْأَرْضَ وَضَعَهَا لِلْأَنَامِ,"And the earth—He laid it out for mankind.
Ar Rahman – The Beneficent"
[55:11],فِيهَا فَاكِهَةٌ وَالنَّخْلُ ذَاتُ الْأَكْمَامِ,"In it are fruits and date-palms with sheaths,
Ar Rahman – The Beneficent"
[55:12],وَالْحَبُّ ذُو الْعَصْفِ وَالرَّيْحَانُ,"grain with husk, and fragrant herbs.
Ar Rahman – The Beneficent"
[55:13],فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ,"So which of your Lord’s bounties will you both deny?
Ar Rahman – The Beneficent"
[55:14],خَلَقَ الْإِنسَانَ مِن صَلْصَالٍ كَالْفَخَّارِ,"He created man out of dry clay, like the potter’s,
Ar Rahman – The Beneficent"
[55:15],وَخَلَقَ الْجَانَّ مِن مَّارِجٍ مِّن نَّارٍ,"and created the jinn out of a flame of a fire.
Ar Rahman – The Beneficent"
[55:16],فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ,"So which of your Lord’s bounties will you both deny?
Ar Rahman – The Beneficent"
[55:17],رَبُّ الْمَشْرِقَيْنِ وَرَبُّ الْمَغْرِبَيْنِ,"Lord of the two easts, and Lord of the two wests!
Ar Rahman – The Beneficent"
[55:18],فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ,"So which of your Lord’s bounties will you both deny?
Ar Rahman – The Beneficent"
[55:19],مَرَجَ الْبَحْرَيْنِ يَلْتَقِيَانِ,"He merged the two seas, meeting each other.
Ar Rahman – The Beneficent"
[55:20],بَيْنَهُمَا بَرْزَخٌ لَّا يَبْغِيَانِ,"There is a barrier between them, which they do not overstep.
Ar Rahman – The Beneficent"
[55:21],فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ,"So which of your Lord’s bounties will you both deny?
Ar Rahman – The Beneficent"
[55:22],يَخْرُجُ مِنْهُمَا اللُّؤْلُؤُ وَالْمَرْجَانُ,"From them emerge the pearl and the coral.
Ar Rahman – The Beneficent"
[55:23],فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ,"So which of your Lord’s bounties will you both deny?
Ar Rahman – The Beneficent"
[55:24],وَلَهُ الْجَوَارِ الْمُنشَآتُ فِي الْبَحْرِ كَالْأَعْلَامِ,"His are the sailing ships on the sea [appearing] like landmarks.
Ar Rahman – The Beneficent"
[55:25],فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ,"So which of your Lord’s bounties will you both deny?
Ar Rahman – The Beneficent"
[55:26],كُلُّ مَنْ عَلَيْهَا فَانٍ,"Everyone on it is ephemeral,
Ar Rahman – The Beneficent"
[55:27],وَيَبْقَىٰ وَجْهُ رَبِّكَ ذُو الْجَلَالِ وَالْإِكْرَامِ,"yet lasting is the majestic and munificent Face of your Lord.
Ar Rahman – The Beneficent"
[55:28],فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ,"So which of your Lord’s bounties will you both deny?
Ar Rahman – The Beneficent"
[55:29],يَسْأَلُهُ مَن فِي السَّمَاوَاتِ وَالْأَرْضِ ۚ كُلَّ يَوْمٍ هُوَ فِي شَأْنٍ,"Everyone in the heavens and the earth asks Him. Every day He is engaged in some work.
Ar Rahman – The Beneficent"
[55:30],فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ,"So which of your Lord’s bounties will you both deny?
Ar Rahman – The Beneficent"
[55:31],سَنَفْرُغُ لَكُمْ أَيُّهَ الثَّقَلَانِ,"Soon We shall make Ourselves unoccupied for you, O you notable two!
Ar Rahman – The Beneficent"
[55:32],فَبِأَيِّ آلَاءِ رَبِّكُمَا تُكَذِّبَانِ,"So which of your Lord’s bounties will you both deny?
Ar Rahman – The Beneficent"
[55:33],يَا مَعْشَرَ الْجِنِّ وَالْإِنسِ إِنِ اسْتَطَعْتُمْ أَن تَنفُذُوا مِنْ أَقْطَارِ السَّمَاوَاتِ وَالْأَرْضِ فَانفُذُوا ۚ لَا تَنفُذُونَ إِلَّا بِسُلْطَانٍ,"O company of jinn and humans! If you can pass through the confines of the heavens and the earth, then do pass through. But you will not pass through except by an authority [from Allah].
Ar Rahman – The Beneficent"
