line id verse number,arabic text,english translation text
[56:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
Al Waqi’ah – The Inevitable"
[56:1],إِذَا وَقَعَتِ الْوَاقِعَةُ,"When the Imminent [Hour] befalls
Al Waqi’ah – The Inevitable"
[56:2],لَيْسَ لِوَقْعَتِهَا كَاذِبَةٌ,"—there is no denying that it will befall—
Al Waqi’ah – The Inevitable"
[56:3],خَافِضَةٌ رَّافِعَةٌ,"[it will be] lowering and exalting.
Al Waqi’ah – The Inevitable"
[56:4],إِذَا رُجَّتِ الْأَرْضُ رَجًّا,"When the earth is shaken violently,
Al Waqi’ah – The Inevitable"
[56:5],وَبُسَّتِ الْجِبَالُ بَسًّا,"and the mountains are shattered into bits
Al Waqi’ah – The Inevitable"
[56:6],فَكَانَتْ هَبَاءً مُّنبَثًّا,"and become scattered dust,
Al Waqi’ah – The Inevitable"
[56:7],وَكُنتُمْ أَزْوَاجًا ثَلَاثَةً,"you will be three groups:
Al Waqi’ah – The Inevitable"
[56:8],فَأَصْحَابُ الْمَيْمَنَةِ مَا أَصْحَابُ الْمَيْمَنَةِ,"The People of the Right Hand—and what are the People of the Right Hand?!
Al Waqi’ah – The Inevitable"
[56:9],وَأَصْحَابُ الْمَشْأَمَةِ مَا أَصْحَابُ الْمَشْأَمَةِ,"And the People of the Left Hand—and what are the People of the Left Hand?!
Al Waqi’ah – The Inevitable"
[56:10],وَالسَّابِقُونَ السَّابِقُونَ,"And the Foremost Ones are the foremost ones:
Al Waqi’ah – The Inevitable"
[56:11],أُولَٰئِكَ الْمُقَرَّبُونَ,"they are the ones brought near [to Allah],
Al Waqi’ah – The Inevitable"
[56:12],فِي جَنَّاتِ النَّعِيمِ,"[who will reside] in the gardens of bliss.
Al Waqi’ah – The Inevitable"
[56:13],ثُلَّةٌ مِّنَ الْأَوَّلِينَ,"A multitude from the former [generations]
Al Waqi’ah – The Inevitable"
[56:14],وَقَلِيلٌ مِّنَ الْآخِرِينَ,"and a few from the latter ones.
Al Waqi’ah – The Inevitable"
[56:15],عَلَىٰ سُرُرٍ مَّوْضُونَةٍ,"On brocaded couches
Al Waqi’ah – The Inevitable"
[56:16],مُّتَّكِئِينَ عَلَيْهَا مُتَقَابِلِينَ,"reclining on them, face to face.
Al Waqi’ah – The Inevitable"
[56:17],يَطُوفُ عَلَيْهِمْ وِلْدَانٌ مُّخَلَّدُونَ,"They will be waited upon by immortal youths,
Al Waqi’ah – The Inevitable"
[56:18],بِأَكْوَابٍ وَأَبَارِيقَ وَكَأْسٍ مِّن مَّعِينٍ,"with goblets and ewers and a cup of a clear wine,
Al Waqi’ah – The Inevitable"
[56:19],لَّا يُصَدَّعُونَ عَنْهَا وَلَا يُنزِفُونَ,"which causes them neither headache nor stupefaction,
Al Waqi’ah – The Inevitable"
[56:20],وَفَاكِهَةٍ مِّمَّا يَتَخَيَّرُونَ,"and such fruits as they prefer
Al Waqi’ah – The Inevitable"
[56:21],وَلَحْمِ طَيْرٍ مِّمَّا يَشْتَهُونَ,"and such flesh of fowls as they desire,
Al Waqi’ah – The Inevitable"
[56:22],وَحُورٌ عِينٌ,"and big-eyed houris
Al Waqi’ah – The Inevitable"
[56:23],كَأَمْثَالِ اللُّؤْلُؤِ الْمَكْنُونِ,"like guarded pearls,
Al Waqi’ah – The Inevitable"
[56:24],جَزَاءً بِمَا كَانُوا يَعْمَلُونَ,"a reward for what they used to do.
Al Waqi’ah – The Inevitable"
[56:25],لَا يَسْمَعُونَ فِيهَا لَغْوًا وَلَا تَأْثِيمًا,"They will not hear therein any vain talk or sinful speech,
Al Waqi’ah – The Inevitable"
[56:26],إِلَّا قِيلًا سَلَامًا سَلَامًا,"but only the watchword, ‘Peace!’ ‘Peace!’
Al Waqi’ah – The Inevitable"
[56:27],وَأَصْحَابُ الْيَمِينِ مَا أَصْحَابُ الْيَمِينِ,"And the People of the Right Hand—what are the People of the Right Hand?!
Al Waqi’ah – The Inevitable"
[56:28],فِي سِدْرٍ مَّخْضُودٍ,"Amid thornless lote trees
Al Waqi’ah – The Inevitable"
[56:29],وَطَلْحٍ مَّنضُودٍ,"and clustered spathes
Al Waqi’ah – The Inevitable"
[56:30],وَظِلٍّ مَّمْدُودٍ,"and extended shade,
Al Waqi’ah – The Inevitable"
[56:31],وَمَاءٍ مَّسْكُوبٍ,"and ever-flowing water
Al Waqi’ah – The Inevitable"
[56:32],وَفَاكِهَةٍ كَثِيرَةٍ,"and abundant fruits,
Al Waqi’ah – The Inevitable"
[56:33],لَّا مَقْطُوعَةٍ وَلَا مَمْنُوعَةٍ,"neither inaccessible, nor forbidden,
Al Waqi’ah – The Inevitable"
[56:34],وَفُرُشٍ مَّرْفُوعَةٍ,"and noble spouses.
Al Waqi’ah – The Inevitable"
[56:35],إِنَّا أَنشَأْنَاهُنَّ إِنشَاءً,"We have created them with a special creation,
Al Waqi’ah – The Inevitable"
[56:36],فَجَعَلْنَاهُنَّ أَبْكَارًا,"and made them virgins,
Al Waqi’ah – The Inevitable"
[56:37],عُرُبًا أَتْرَابًا,"loving, of a like age,
Al Waqi’ah – The Inevitable"
[56:38],لِّأَصْحَابِ الْيَمِينِ,"for the People of the Right Hand.
Al Waqi’ah – The Inevitable"
[56:39],ثُلَّةٌ مِّنَ الْأَوَّلِينَ,"A multitude from the former [generations]
Al Waqi’ah – The Inevitable"
[56:40],وَثُلَّةٌ مِّنَ الْآخِرِينَ,"and a multitude from the latter [ones].
Al Waqi’ah – The Inevitable"
[56:41],وَأَصْحَابُ الشِّمَالِ مَا أَصْحَابُ الشِّمَالِ,"And the People of the Left Hand—what are the People of the Left Hand?!
Al Waqi’ah – The Inevitable"
[56:42],فِي سَمُومٍ وَحَمِيمٍ,"Amid infernal miasma and boiling water
Al Waqi’ah – The Inevitable"
[56:43],وَظِلٍّ مِّن يَحْمُومٍ,"and the shadow of a dense black smoke,
Al Waqi’ah – The Inevitable"
[56:44],لَّا بَارِدٍ وَلَا كَرِيمٍ,"neither cool nor beneficial.
Al Waqi’ah – The Inevitable"
[56:45],إِنَّهُمْ كَانُوا قَبْلَ ذَٰلِكَ مُتْرَفِينَ,"Indeed they had been affluent before this,
Al Waqi’ah – The Inevitable"
[56:46],وَكَانُوا يُصِرُّونَ عَلَى الْحِنثِ الْعَظِيمِ,"and they used to persist in the great sin.
Al Waqi’ah – The Inevitable"
[56:47],وَكَانُوا يَقُولُونَ أَئِذَا مِتْنَا وَكُنَّا تُرَابًا وَعِظَامًا أَإِنَّا لَمَبْعُوثُونَ,"And they used to say, ‘What! When we are dead and become dust and bones, shall we be resurrected?!
Al Waqi’ah – The Inevitable"
[56:48],أَوَآبَاؤُنَا الْأَوَّلُونَ,"And our forefathers too?!’
Al Waqi’ah – The Inevitable"
[56:49],قُلْ إِنَّ الْأَوَّلِينَ وَالْآخِرِينَ,"Say, ‘Indeed the former and latter generations
Al Waqi’ah – The Inevitable"
[56:50],لَمَجْمُوعُونَ إِلَىٰ مِيقَاتِ يَوْمٍ مَّعْلُومٍ,"will all be gathered for the tryst of a known day.
Al Waqi’ah – The Inevitable"
[56:51],ثُمَّ إِنَّكُمْ أَيُّهَا الضَّالُّونَ الْمُكَذِّبُونَ,"Then indeed, you, astray deniers,
Al Waqi’ah – The Inevitable"
[56:52],لَآكِلُونَ مِن شَجَرٍ مِّن زَقُّومٍ,"will surely eat from the Zaqqum tree
Al Waqi’ah – The Inevitable"
[56:53],فَمَالِئُونَ مِنْهَا الْبُطُونَ,"and stuff your bellies with it,
Al Waqi’ah – The Inevitable"
[56:54],فَشَارِبُونَ عَلَيْهِ مِنَ الْحَمِيمِ,"and drink boiling water on top of it,
Al Waqi’ah – The Inevitable"
[56:55],فَشَارِبُونَ شُرْبَ الْهِيمِ,"drinking like thirsty camels.’
Al Waqi’ah – The Inevitable"
[56:56],هَٰذَا نُزُلُهُمْ يَوْمَ الدِّينِ,"Such will be the hospitality they receive on the Day of Retribution.
Al Waqi’ah – The Inevitable"
[56:57],نَحْنُ خَلَقْنَاكُمْ فَلَوْلَا تُصَدِّقُونَ,"We created you. Then why do you not acknowledge it?
Al Waqi’ah – The Inevitable"
[56:58],أَفَرَأَيْتُم مَّا تُمْنُونَ,"Have you considered the sperm that you emit?
Al Waqi’ah – The Inevitable"
[56:59],أَأَنتُمْ تَخْلُقُونَهُ أَمْ نَحْنُ الْخَالِقُونَ,"Is it you who create it, or are We the creator?
Al Waqi’ah – The Inevitable"
[56:60],نَحْنُ قَدَّرْنَا بَيْنَكُمُ الْمَوْتَ وَمَا نَحْنُ بِمَسْبُوقِينَ,"We have ordained death among you, and We are not to be outmaneuvered
Al Waqi’ah – The Inevitable"
[56:61],عَلَىٰ أَن نُّبَدِّلَ أَمْثَالَكُمْ وَنُنشِئَكُمْ فِي مَا لَا تَعْلَمُونَ,"from replacing you with your likes and recreating you in [a realm] you do not know.
Al Waqi’ah – The Inevitable"
[56:62],وَلَقَدْ عَلِمْتُمُ النَّشْأَةَ الْأُولَىٰ فَلَوْلَا تَذَكَّرُونَ,"Certainly you have known the first genesis, then why do you not take admonition?
Al Waqi’ah – The Inevitable"
[56:63],أَفَرَأَيْتُم مَّا تَحْرُثُونَ,"Have you considered what you sow?
Al Waqi’ah – The Inevitable"
[56:64],أَأَنتُمْ تَزْرَعُونَهُ أَمْ نَحْنُ الزَّارِعُونَ,"Is it you who make it grow, or are We the grower?
Al Waqi’ah – The Inevitable"
[56:65],لَوْ نَشَاءُ لَجَعَلْنَاهُ حُطَامًا فَظَلْتُمْ تَفَكَّهُونَ,"If We wish, We turn it into chaff, whereat you are left stunned [saying to yourselves,]
Al Waqi’ah – The Inevitable"
[56:66],إِنَّا لَمُغْرَمُونَ,"‘Indeed we have suffered loss!
Al Waqi’ah – The Inevitable"
[56:67],بَلْ نَحْنُ مَحْرُومُونَ,"No, we are deprived!’
Al Waqi’ah – The Inevitable"
[56:68],أَفَرَأَيْتُمُ الْمَاءَ الَّذِي تَشْرَبُونَ,"Have you considered the water that you drink?
Al Waqi’ah – The Inevitable"
[56:69],أَأَنتُمْ أَنزَلْتُمُوهُ مِنَ الْمُزْنِ أَمْ نَحْنُ الْمُنزِلُونَ,"Is it you who bring it down from the rain cloud, or is it We who bring [it] down?
Al Waqi’ah – The Inevitable"
[56:70],لَوْ نَشَاءُ جَعَلْنَاهُ أُجَاجًا فَلَوْلَا تَشْكُرُونَ,"If We wish We can make it bitter. Then why do you not give thanks?
Al Waqi’ah – The Inevitable"
