line id verse number,arabic text,english translation text
[76:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
Al Insan – The Man"
[76:1],هَلْ أَتَىٰ عَلَى الْإِنسَانِ حِينٌ مِّنَ الدَّهْرِ لَمْ يَكُن شَيْئًا مَّذْكُورًا,"Has there been a period of time for man when he was not anything worthy of mention?
Al Insan – The Man"
[76:2],إِنَّا خَلَقْنَا الْإِنسَانَ مِن نُّطْفَةٍ أَمْشَاجٍ نَّبْتَلِيهِ فَجَعَلْنَاهُ سَمِيعًا بَصِيرًا,"Indeed We created man from the drop of a mixed fluid so that We may put him to test, so We endowed with hearing and sight.
Al Insan – The Man"
[76:3],إِنَّا هَدَيْنَاهُ السَّبِيلَ إِمَّا شَاكِرًا وَإِمَّا كَفُورًا,"Indeed We have guided him to the way, be he grateful or ungrateful.
Al Insan – The Man"
[76:4],إِنَّا أَعْتَدْنَا لِلْكَافِرِينَ سَلَاسِلَ وَأَغْلَالًا وَسَعِيرًا,"Indeed for the faithless We have prepared chains, iron collars, and a blaze.
Al Insan – The Man"
[76:5],إِنَّ الْأَبْرَارَ يَشْرَبُونَ مِن كَأْسٍ كَانَ مِزَاجُهَا كَافُورًا,"Indeed the pious will drink from a cup seasoned with Kafur,
Al Insan – The Man"
[76:6],عَيْنًا يَشْرَبُ بِهَا عِبَادُ اللَّهِ يُفَجِّرُونَهَا تَفْجِيرًا,"a spring where Allah’s servants will drink, making it gush forth as they please.
Al Insan – The Man"
[76:7],يُوفُونَ بِالنَّذْرِ وَيَخَافُونَ يَوْمًا كَانَ شَرُّهُ مُسْتَطِيرًا,"They fulfill their vows and fear a day whose ill will be widespread.
Al Insan – The Man"
[76:8],وَيُطْعِمُونَ الطَّعَامَ عَلَىٰ حُبِّهِ مِسْكِينًا وَيَتِيمًا وَأَسِيرًا,"For the love of Him, they feed the needy, the orphan and the prisoner,
Al Insan – The Man"
[76:9],إِنَّمَا نُطْعِمُكُمْ لِوَجْهِ اللَّهِ لَا نُرِيدُ مِنكُمْ جَزَاءً وَلَا شُكُورًا,"[saying,] ‘We feed you only for the sake of Allah. We desire no reward from you, nor thanks.
Al Insan – The Man"
[76:10],إِنَّا نَخَافُ مِن رَّبِّنَا يَوْمًا عَبُوسًا قَمْطَرِيرًا,"Indeed we fear a frowning and fateful day from our Lord.’
Al Insan – The Man"
[76:11],فَوَقَاهُمُ اللَّهُ شَرَّ ذَٰلِكَ الْيَوْمِ وَلَقَّاهُمْ نَضْرَةً وَسُرُورًا,"So Allah saved them from that day’s ills and graced them with freshness [on this faces] and joy [in their hearts].
Al Insan – The Man"
[76:12],وَجَزَاهُم بِمَا صَبَرُوا جَنَّةً وَحَرِيرًا,"He rewarded them for their patience with a garden and [garments of] silk,
Al Insan – The Man"
[76:13],مُّتَّكِئِينَ فِيهَا عَلَى الْأَرَائِكِ ۖ لَا يَرَوْنَ فِيهَا شَمْسًا وَلَا زَمْهَرِيرًا,"reclining therein on couches, without facing any [scorching] sun, or [biting] cold.
Al Insan – The Man"
[76:14],وَدَانِيَةً عَلَيْهِمْ ظِلَالُهَا وَذُلِّلَتْ قُطُوفُهَا تَذْلِيلًا,"Its shades will be close over them and its clusters [of fruits] will be hanging low.
Al Insan – The Man"
[76:15],وَيُطَافُ عَلَيْهِم بِآنِيَةٍ مِّن فِضَّةٍ وَأَكْوَابٍ كَانَتْ قَوَارِيرَا,"They will be served around with vessels of silver and goblets of crystal
Al Insan – The Man"
[76:16],قَوَارِيرَ مِن فِضَّةٍ قَدَّرُوهَا تَقْدِيرًا,"—crystal of silver— [from] which they will dispense in a precise measure.
Al Insan – The Man"
[76:17],وَيُسْقَوْنَ فِيهَا كَأْسًا كَانَ مِزَاجُهَا زَنجَبِيلًا,"They will be served therein with a cup of a drink seasoned with Zanjabeel,
Al Insan – The Man"
[76:18],عَيْنًا فِيهَا تُسَمَّىٰ سَلْسَبِيلًا,"from a spring in it named Salsabeel.
Al Insan – The Man"
[76:19],وَيَطُوفُ عَلَيْهِمْ وِلْدَانٌ مُّخَلَّدُونَ إِذَا رَأَيْتَهُمْ حَسِبْتَهُمْ لُؤْلُؤًا مَّنثُورًا,"They will be waited upon by immortal youths, whom, were you to see them, you will suppose them to be scattered pearls.
Al Insan – The Man"
[76:20],وَإِذَا رَأَيْتَ ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا,"As you look on, you will see there bliss and a great kingdom.
Al Insan – The Man"
[76:21],عَالِيَهُمْ ثِيَابُ سُندُسٍ خُضْرٌ وَإِسْتَبْرَقٌ ۖ وَحُلُّوا أَسَاوِرَ مِن فِضَّةٍ وَسَقَاهُمْ رَبُّهُمْ شَرَابًا طَهُورًا,"Upon them will be cloaks of green silk and brocade and they will be adorned with bracelets of silver. Their Lord will give them to drink a pure drink.
Al Insan – The Man"
[76:22],إِنَّ هَٰذَا كَانَ لَكُمْ جَزَاءً وَكَانَ سَعْيُكُم مَّشْكُورًا,"[They will be told]: ‘This is your reward, and your efforts have been well-appreciated.’
Al Insan – The Man"
[76:23],إِنَّا نَحْنُ نَزَّلْنَا عَلَيْكَ الْقُرْآنَ تَنزِيلًا,"Indeed We have sent down to you the Quran in a gradual descent.
Al Insan – The Man"
[76:24],فَاصْبِرْ لِحُكْمِ رَبِّكَ وَلَا تُطِعْ مِنْهُمْ آثِمًا أَوْ كَفُورًا,"So submit patiently to the judgement of your Lord and do not obey any sinner or ingrate from among them,
Al Insan – The Man"
[76:25],وَاذْكُرِ اسْمَ رَبِّكَ بُكْرَةً وَأَصِيلًا,"and celebrate the Name of your Lord morning and evening,
Al Insan – The Man"
[76:26],وَمِنَ اللَّيْلِ فَاسْجُدْ لَهُ وَسَبِّحْهُ لَيْلًا طَوِيلًا,"and worship Him for a watch of the night and glorify Him the night long.
Al Insan – The Man"
[76:27],إِنَّ هَٰؤُلَاءِ يُحِبُّونَ الْعَاجِلَةَ وَيَذَرُونَ وَرَاءَهُمْ يَوْمًا ثَقِيلًا,"Indeed they love this transitory life, and disregard a heavy day that is ahead of them.
Al Insan – The Man"
[76:28],نَّحْنُ خَلَقْنَاهُمْ وَشَدَدْنَا أَسْرَهُمْ ۖ وَإِذَا شِئْنَا بَدَّلْنَا أَمْثَالَهُمْ تَبْدِيلًا,"We created them and strengthened their joints, and We will replace them with others like them whenever We like.
Al Insan – The Man"
[76:29],إِنَّ هَٰذِهِ تَذْكِرَةٌ ۖ فَمَن شَاءَ اتَّخَذَ إِلَىٰ رَبِّهِ سَبِيلًا,"This is indeed a reminder. So let anyone who wishes take the way toward his Lord.
Al Insan – The Man"
[76:30],وَمَا تَشَاءُونَ إِلَّا أَن يَشَاءَ اللَّهُ ۚ إِنَّ اللَّهَ كَانَ عَلِيمًا حَكِيمًا,"But you will not wish unless it is willed by Allah. Indeed Allah is all-knowing, all-wise.
Al Insan – The Man"
[76:31],يُدْخِلُ مَن يَشَاءُ فِي رَحْمَتِهِ ۚ وَالظَّالِمِينَ أَعَدَّ لَهُمْ عَذَابًا أَلِيمًا,"He admits whomever He wishes into His mercy, and He has prepared a painful punishment for the wrongdoers.
Al Insan – The Man"
