line id verse number,arabic text,english translation text
[77:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
Al Mursalat – The Emissaries"
[77:1],وَالْمُرْسَلَاتِ عُرْفًا,"By the [angelic] emissaries sent successively,
Al Mursalat – The Emissaries"
[77:2],فَالْعَاصِفَاتِ عَصْفًا,"by those who sweep along like gale,
Al Mursalat – The Emissaries"
[77:3],وَالنَّاشِرَاتِ نَشْرًا,"by those who publish [the Divine messages] far and wide,
Al Mursalat – The Emissaries"
[77:4],فَالْفَارِقَاتِ فَرْقًا,"by those who separate [the truth from falsehood] distinctly,
Al Mursalat – The Emissaries"
[77:5],فَالْمُلْقِيَاتِ ذِكْرًا,"by those who inspire [God’s] remembrance,
Al Mursalat – The Emissaries"
[77:6],عُذْرًا أَوْ نُذْرًا,"as exemption or warning:
Al Mursalat – The Emissaries"
[77:7],إِنَّمَا تُوعَدُونَ لَوَاقِعٌ,"what you are promised will surely befall.
Al Mursalat – The Emissaries"
[77:8],فَإِذَا النُّجُومُ طُمِسَتْ,"When the stars are blotted out
Al Mursalat – The Emissaries"
[77:9],وَإِذَا السَّمَاءُ فُرِجَتْ,"and the sky is cleft,
Al Mursalat – The Emissaries"
[77:10],وَإِذَا الْجِبَالُ نُسِفَتْ,"when the mountains are scattered [like dust]
Al Mursalat – The Emissaries"
[77:11],وَإِذَا الرُّسُلُ أُقِّتَتْ,"and time is set for the apostles [to bear witness]
Al Mursalat – The Emissaries"
[77:12],لِأَيِّ يَوْمٍ أُجِّلَتْ,"—for what day has [all] that been set [to occur]?
Al Mursalat – The Emissaries"
[77:13],لِيَوْمِ الْفَصْلِ,"For the Day of Judgement!
Al Mursalat – The Emissaries"
[77:14],وَمَا أَدْرَاكَ مَا يَوْمُ الْفَصْلِ,"And what will show you what is the Day of Judgement!?
Al Mursalat – The Emissaries"
[77:15],وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ,"Woe to the deniers on that day!
Al Mursalat – The Emissaries"
[77:16],أَلَمْ نُهْلِكِ الْأَوَّلِينَ,"Did We not destroy the former generations,
Al Mursalat – The Emissaries"
[77:17],ثُمَّ نُتْبِعُهُمُ الْآخِرِينَ,"[and] then made the latter ones follow them?
Al Mursalat – The Emissaries"
[77:18],كَذَٰلِكَ نَفْعَلُ بِالْمُجْرِمِينَ,"That is how We deal with the guilty.
Al Mursalat – The Emissaries"
[77:19],وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ,"Woe to the deniers on that day!
Al Mursalat – The Emissaries"
[77:20],أَلَمْ نَخْلُقكُّم مِّن مَّاءٍ مَّهِينٍ,"Have We not created you from a base fluid,
Al Mursalat – The Emissaries"
[77:21],فَجَعَلْنَاهُ فِي قَرَارٍ مَّكِينٍ,"[and] then lodged it in a secure abode
Al Mursalat – The Emissaries"
[77:22],إِلَىٰ قَدَرٍ مَّعْلُومٍ,"until a known span [of time]?
Al Mursalat – The Emissaries"
[77:23],فَقَدَرْنَا فَنِعْمَ الْقَادِرُونَ,"Then We determined; and how excellent determiners We are!
Al Mursalat – The Emissaries"
[77:24],وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ,"Woe to the deniers on that day!
Al Mursalat – The Emissaries"
[77:25],أَلَمْ نَجْعَلِ الْأَرْضَ كِفَاتًا,"Have We not made the earth a receptacle
Al Mursalat – The Emissaries"
[77:26],أَحْيَاءً وَأَمْوَاتًا,"for the living and the dead,
Al Mursalat – The Emissaries"
[77:27],وَجَعَلْنَا فِيهَا رَوَاسِيَ شَامِخَاتٍ وَأَسْقَيْنَاكُم مَّاءً فُرَاتًا,"and set in it lofty [and] firm mountains, and given you agreeable water to drink?
Al Mursalat – The Emissaries"
[77:28],وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ,"Woe to the deniers on that day!
Al Mursalat – The Emissaries"
[77:29],انطَلِقُوا إِلَىٰ مَا كُنتُم بِهِ تُكَذِّبُونَ,"[The faithless will be told:] ‘Proceed toward what you used to deny!
Al Mursalat – The Emissaries"
[77:30],انطَلِقُوا إِلَىٰ ظِلٍّ ذِي ثَلَاثِ شُعَبٍ,"Proceed toward the triple-forked shadow,
Al Mursalat – The Emissaries"
