line id verse number,arabic text,english translation text
[78:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
An Naba – The Tidings"
[78:1],عَمَّ يَتَسَاءَلُونَ,"What is it that they are questioning each other about?!
An Naba – The Tidings"
[78:2],عَنِ النَّبَإِ الْعَظِيمِ,"[Is it] about the Great Tiding,
An Naba – The Tidings"
[78:3],الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ,"the one about which they differ?
An Naba – The Tidings"
[78:4],كَلَّا سَيَعْلَمُونَ,"No indeed! Soon they will know!
An Naba – The Tidings"
[78:5],ثُمَّ كَلَّا سَيَعْلَمُونَ,"No indeed! Soon they will know for once again!
An Naba – The Tidings"
[78:6],أَلَمْ نَجْعَلِ الْأَرْضَ مِهَادًا,"Did We not make the earth a resting place?
An Naba – The Tidings"
[78:7],وَالْجِبَالَ أَوْتَادًا,"and the mountains stakes?
An Naba – The Tidings"
[78:8],وَخَلَقْنَاكُمْ أَزْوَاجًا,"and create you in pairs?
An Naba – The Tidings"
[78:9],وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا,"and make your sleep for rest?
An Naba – The Tidings"
[78:10],وَجَعَلْنَا اللَّيْلَ لِبَاسًا,"and make the night a covering?
An Naba – The Tidings"
[78:11],وَجَعَلْنَا النَّهَارَ مَعَاشًا,"and make the day for livelihood?
An Naba – The Tidings"
[78:12],وَبَنَيْنَا فَوْقَكُمْ سَبْعًا شِدَادًا,"and build above you the seven mighty heavens?
An Naba – The Tidings"
[78:13],وَجَعَلْنَا سِرَاجًا وَهَّاجًا,"and make [the sun for] a radiant lamp?
An Naba – The Tidings"
[78:14],وَأَنزَلْنَا مِنَ الْمُعْصِرَاتِ مَاءً ثَجَّاجًا,"and send down water pouring from the rain-clouds,
An Naba – The Tidings"
[78:15],لِّنُخْرِجَ بِهِ حَبًّا وَنَبَاتًا,"that We may bring forth with it grains and plants,
An Naba – The Tidings"
[78:16],وَجَنَّاتٍ أَلْفَافًا,"and luxuriant gardens?
An Naba – The Tidings"
[78:17],إِنَّ يَوْمَ الْفَصْلِ كَانَ مِيقَاتًا,"Indeed the Day of Judgement is the tryst,
An Naba – The Tidings"
[78:18],يَوْمَ يُنفَخُ فِي الصُّورِ فَتَأْتُونَ أَفْوَاجًا,"the day the Trumpet will be blown, and you will come in groups,
An Naba – The Tidings"
[78:19],وَفُتِحَتِ السَّمَاءُ فَكَانَتْ أَبْوَابًا,"and the sky will be opened and become gates,
An Naba – The Tidings"
[78:20],وَسُيِّرَتِ الْجِبَالُ فَكَانَتْ سَرَابًا,"and the mountains will be set moving and become a mirage.
An Naba – The Tidings"
[78:21],إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا,"Indeed hell is in ambush,
An Naba – The Tidings"
[78:22],لِّلطَّاغِينَ مَآبًا,"a resort for the rebels,
An Naba – The Tidings"
[78:23],لَّابِثِينَ فِيهَا أَحْقَابًا,"to reside therein for ages,
An Naba – The Tidings"
[78:24],لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا,"tasting in it neither any coolness nor drink,
An Naba – The Tidings"
[78:25],إِلَّا حَمِيمًا وَغَسَّاقًا,"except boiling water and pus,
An Naba – The Tidings"
[78:26],جَزَاءً وِفَاقًا,"a fitting requital.
An Naba – The Tidings"
