line id verse number,arabic text,english translation text
[83:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
Al Mutaffifin – The Defrauding"
[83:1],وَيْلٌ لِّلْمُطَفِّفِينَ,"Woe to the defrauders, who use short measures,
Al Mutaffifin – The Defrauding"
[83:2],الَّذِينَ إِذَا اكْتَالُوا عَلَى النَّاسِ يَسْتَوْفُونَ,"who, when they measure [a commodity bought] from the people, take the full measure,
Al Mutaffifin – The Defrauding"
[83:3],وَإِذَا كَالُوهُمْ أَو وَّزَنُوهُمْ يُخْسِرُونَ,"but diminish when they measure or weigh for them.
Al Mutaffifin – The Defrauding"
[83:4],أَلَا يَظُنُّ أُولَٰئِكَ أَنَّهُم مَّبْعُوثُونَ,"Do they not know that they will be resurrected
Al Mutaffifin – The Defrauding"
[83:5],لِيَوْمٍ عَظِيمٍ,"on a tremendous day,
Al Mutaffifin – The Defrauding"
[83:6],يَوْمَ يَقُومُ النَّاسُ لِرَبِّ الْعَالَمِينَ,"a day when mankind will stand before the Lord of all the worlds?
Al Mutaffifin – The Defrauding"
[83:7],كَلَّا إِنَّ كِتَابَ الْفُجَّارِ لَفِي سِجِّينٍ,"Indeed, the record of the vicious is in Sijjeen.
Al Mutaffifin – The Defrauding"
[83:8],وَمَا أَدْرَاكَ مَا سِجِّينٌ,"And what will show you what is Sijjeen?
Al Mutaffifin – The Defrauding"
[83:9],كِتَابٌ مَّرْقُومٌ,"It is a written record.
Al Mutaffifin – The Defrauding"
[83:10],وَيْلٌ يَوْمَئِذٍ لِّلْمُكَذِّبِينَ,"Woe to the deniers on that day,
Al Mutaffifin – The Defrauding"
[83:11],الَّذِينَ يُكَذِّبُونَ بِيَوْمِ الدِّينِ,"who deny the Day of Retribution;
Al Mutaffifin – The Defrauding"
[83:12],وَمَا يُكَذِّبُ بِهِ إِلَّا كُلُّ مُعْتَدٍ أَثِيمٍ,"and none denies it except every sinful transgressor.
Al Mutaffifin – The Defrauding"
[83:13],إِذَا تُتْلَىٰ عَلَيْهِ آيَاتُنَا قَالَ أَسَاطِيرُ الْأَوَّلِينَ,"When Our signs are recited to him, he says, ‘Myths of the ancients!’
Al Mutaffifin – The Defrauding"
[83:14],كَلَّا ۖ بَلْ ۜ رَانَ عَلَىٰ قُلُوبِهِم مَّا كَانُوا يَكْسِبُونَ,"No, that is not the case! Rather, their hearts have been sullied by what they have been earning.
Al Mutaffifin – The Defrauding"
[83:15],كَلَّا إِنَّهُمْ عَن رَّبِّهِمْ يَوْمَئِذٍ لَّمَحْجُوبُونَ,"Indeed, they will be alienated from their Lord on that day.
Al Mutaffifin – The Defrauding"
[83:16],ثُمَّ إِنَّهُمْ لَصَالُو الْجَحِيمِ,"Afterward they will enter hell,
Al Mutaffifin – The Defrauding"
[83:17],ثُمَّ يُقَالُ هَٰذَا الَّذِي كُنتُم بِهِ تُكَذِّبُونَ,"then told, ‘This is what you used to deny!’
Al Mutaffifin – The Defrauding"
[83:18],كَلَّا إِنَّ كِتَابَ الْأَبْرَارِ لَفِي عِلِّيِّينَ,"Indeed, the record of the pious is in Illeeyun.
Al Mutaffifin – The Defrauding"
[83:19],وَمَا أَدْرَاكَ مَا عِلِّيُّونَ,"And what will show you what is Illeeyun?
Al Mutaffifin – The Defrauding"
[83:20],كِتَابٌ مَّرْقُومٌ,"It is a written record,
Al Mutaffifin – The Defrauding"
[83:21],يَشْهَدُهُ الْمُقَرَّبُونَ,"witnessed by those brought near [to Allah].
Al Mutaffifin – The Defrauding"
