line id verse number,arabic text,english translation text
[84:0],بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,"In the Name of Allah, the All-beneficent, the All-merciful.
Al Inshiqaq – The Sundering"
[84:1],إِذَا السَّمَاءُ انشَقَّتْ,"When the sky is split open
Al Inshiqaq – The Sundering"
[84:2],وَأَذِنَتْ لِرَبِّهَا وَحُقَّتْ,"and gives ear to its Lord as it should.
Al Inshiqaq – The Sundering"
[84:3],وَإِذَا الْأَرْضُ مُدَّتْ,"When the earth is spread out
Al Inshiqaq – The Sundering"
[84:4],وَأَلْقَتْ مَا فِيهَا وَتَخَلَّتْ,"and throws out what is in it, emptying itself,
Al Inshiqaq – The Sundering"
[84:5],وَأَذِنَتْ لِرَبِّهَا وَحُقَّتْ,"and gives ear to its Lord as it should.
Al Inshiqaq – The Sundering"
[84:6],يَا أَيُّهَا الْإِنسَانُ إِنَّكَ كَادِحٌ إِلَىٰ رَبِّكَ كَدْحًا فَمُلَاقِيهِ,"O man! You are labouring toward your Lord laboriously, and you will encounter Him.
Al Inshiqaq – The Sundering"
[84:7],فَأَمَّا مَنْ أُوتِيَ كِتَابَهُ بِيَمِينِهِ,"Then, as for him who is given his record [of deeds] in his right hand,
Al Inshiqaq – The Sundering"
[84:8],فَسَوْفَ يُحَاسَبُ حِسَابًا يَسِيرًا,"he will receive an easy reckoning,
Al Inshiqaq – The Sundering"
[84:9],وَيَنقَلِبُ إِلَىٰ أَهْلِهِ مَسْرُورًا,"and he will return to his folks joyfully.
Al Inshiqaq – The Sundering"
[84:10],وَأَمَّا مَنْ أُوتِيَ كِتَابَهُ وَرَاءَ ظَهْرِهِ,"But as for him who is given his record from behind his back,
Al Inshiqaq – The Sundering"
[84:11],فَسَوْفَ يَدْعُو ثُبُورًا,"he will pray for annihilation
Al Inshiqaq – The Sundering"
[84:12],وَيَصْلَىٰ سَعِيرًا,"and enter the Blaze.
Al Inshiqaq – The Sundering"
[84:13],إِنَّهُ كَانَ فِي أَهْلِهِ مَسْرُورًا,"Indeed he used to be joyful among his folk,
Al Inshiqaq – The Sundering"
[84:14],إِنَّهُ ظَنَّ أَن لَّن يَحُورَ,"and he thought that he would never return.
Al Inshiqaq – The Sundering"
[84:15],بَلَىٰ إِنَّ رَبَّهُ كَانَ بِهِ بَصِيرًا,"Yes, his Lord had been watching him.
Al Inshiqaq – The Sundering"
[84:16],فَلَا أُقْسِمُ بِالشَّفَقِ,"I swear by the evening glow,
Al Inshiqaq – The Sundering"
[84:17],وَاللَّيْلِ وَمَا وَسَقَ,"by the night and what it is fraught with,
Al Inshiqaq – The Sundering"
[84:18],وَالْقَمَرِ إِذَا اتَّسَقَ,"by the moon when it blooms full:
Al Inshiqaq – The Sundering"
[84:19],لَتَرْكَبُنَّ طَبَقًا عَن طَبَقٍ,"you will surely fare from stage to stage.
Al Inshiqaq – The Sundering"
[84:20],فَمَا لَهُمْ لَا يُؤْمِنُونَ,"What is the matter with them that they will not believe,
Al Inshiqaq – The Sundering"
[84:21],وَإِذَا قُرِئَ عَلَيْهِمُ الْقُرْآنُ لَا يَسْجُدُونَ ۩,"and will not prostrate when the Quran is recited to them?
Al Inshiqaq – The Sundering"
[84:22],بَلِ الَّذِينَ كَفَرُوا يُكَذِّبُونَ,"Indeed, the faithless impugn [the Apostle],
Al Inshiqaq – The Sundering"
[84:23],وَاللَّهُ أَعْلَمُ بِمَا يُوعُونَ,"and Allah knows best what they keep to themselves.
Al Inshiqaq – The Sundering"
[84:24],فَبَشِّرْهُم بِعَذَابٍ أَلِيمٍ,"So inform them of a painful punishment,
Al Inshiqaq – The Sundering"
[84:25],إِلَّا الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ لَهُمْ أَجْرٌ غَيْرُ مَمْنُونٍ,"excepting such as are faithful and do righteous deeds: for them there will be an everlasting reward.
Al Inshiqaq – The Sundering"
