line id,original language,translation
,Ziyarat of Imam Zainul Aabidin (a.s),
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,"اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ 
وَ آلِ مُحَمَّد",O Allah bless Muhammad and the family of Muhammad.
,"لسَّلامُ عَلَيْكَ يَا زَيْنَ العَابِدِينَ,",Peace be upon you; O the Pride of the worshippers!
,"السَّلامُ عَلَيْكَ يَا زَيْنَ المُتَهَجِّدِينَ,",Peace be upon you; O Pride of the Strivers!
,"السَّلامُ عَلَيْكَ يَا إِمَامَ المُتَّقِينَ,",Peace be upon you; O Imam of the pious!
,"السَّلامُ عَلَيْكَ يَا دُرَّةَ الصَّالِحِينَ,",Peace be upon you; O Lamp of the Approved Ones.
,السَّلامُ عَلَيْكَ يَا وَلِيَّ المُسْلِمِينَ,Peace be upon you; O Master of Muslims!
,السَّلامُ عَلَيْكَ يَا قُرَّةَ عَيْنِ النَّاظِرِينَ العَارِفِينَ,Peace be upon you; O the delight of the viewer eyes and learned
,"السَّلامُ عَلَيْكَ يَا خَلَفَ السَّابِقِينَ,",Peace be upon you; O the descendant of the Previous Ones
,"السَّلامُ عَلَيْكَ يَا وَصِيَّ الوَصِيِّينَ,",Peace be upon you; O Guardian of the Guardians
,"السَّلامُ عَلَيْكَ يَا خَازِنَ وَصَايَا المُرْسَلِينَ,",Peace be upon you; O The trustee of the Divine Commandments
,"السَّلامُ عَلَيْكَ يَا ضَوْءَ المُسْتَوْحِشِينَ,",Peace be upon you; O The Light of
,"السَّلامُ عَلَيْكَ يَا سِرَاجَ المُرْتَاضِينَ,",Peace be upon you; O The Light of the Lonely
,"السَّلامُ عَلَيْكَ يَا نُورَ المُجْتَهِدِينَ,",Peace be upon you; O Illumination of the Strivers
,السَّلامُ عَلَيْكَ يَا ذُخْرَ المُتَعَبِّدِينَ,Peace be upon you; O the Asset of The Worshipers
,"السَّلامُ عَلَيْكَ يَا مِصْبَاحَ العَالَمِينَ,",Peace be upon you; O the Lamp of the Worlds
,"السَّلامُ عَلَيْكَ يَا سَفِينَةَ العِلْمِ,",Peace be upon you; O the Ship of Knowledge
,"السَّلامُ عَلَيْكَ يَا سَكِينَةَ الحِلْمِ,",Peace be upon you; O the Peace of Tolerant
,"السَّلامُ عَلَيْكَ يَا مِيزَانَ القَصَاصِ,",Peace be upon you; O the Scale of Retribution
,"السَّلامُ عَلَيْكَ يَا سَفِينَةَ الخَلاصِ,",Peace be upon you; O Ship of Salvation
,"السَّلامُ عَلَيْكَ يَا بَحْرَ النَّدَى,",Peace be upon you; O ocean of generosity!
,"السَّلامُ عَلَيْكَ بَدْرَ الدُّجَى,",Peace be upon you; O full moon in gloom!
,"السَّلامُ عَلَيْكَ أَيُّهَا الأَوَّاهُ الحَلِيمُ,",Peace be upon you; O Tenderhearted and Forbearing!
,"السَّلَامُ عَلَيْكَ أَيُهَا الصَّابِرُ الحَكِيمُ,",Peace be upon you; O Patient and Wise!
,"السَّلامُ عَلَيْكَ يَا رَئِيسَ البَكَّائِينِ,",Peace be upon you; O head of weepers (of fear of God)!
,"السَّلامُ عَلَيْكَ يَا مِصْبَاحَ المُؤْمِنِينَ,",Peace be upon you; O Lantern for the Believers!
,"السَّلَامُ عَلَيْكَ يَا مَوْلايَ يَا أَبَا مُحَمِّدٍ,","Peace be upon you; O my master, Abü-Muhammad!"
,"أَشْهَدُ أَنَّكَ حُجَّةُ اللَّهِ, وَابْنُ حُجَّتِهِ,",I bear witness that you are the Proof of God and the Son of His Proof
,وَأَبُو حُجَجِهِ,And the father of His Proof
,"وَابْنُ أَمِينِهِ, وَأَبُو أُمَنَائِهِ,",And the son of His trustee and the father of His trustees
,"وَأَنَّكَ نَاصَحْتَ فِي عِبَادَةِ رَبِّكَ,","And you acted sincerely in the worship of your Lord,"
,"وَسَارَعْتَ فِي مَرْضَاتِهِ,",and hurried for seeking His pleasure
,"وَخَيَّبْتَ أَعْدَاءَهُ,","and disappointed His enemies,"
,"وَسَرَرْتَ أَوْلِيَاءَهُ,",and delighted His intimate servants!
,"أَشْهَدُ أَنَّكَ قَدْ عَبَدْتَ اللَّهَ حَقَّ عِبَادَتِهِ,","I bear witness that you worshipped Allah as He should be worshipped,"
,"وَاتَّقَيْتَهُ حَقَّ تُقَاتِهِ,","and fear Him as He should be feared,"
,"وَأَطَعْتَهُ حَقَّ طَاعَتِهِ حَتَّى أَتَاكَ اليَقِينُ,","and obeyed Him as He should be obeyed,"
,"فَعَلَيْكَ يَا مَوْلايَ يَا بْنَ رَسُولِ اللَّهِ أَفْضَلُ التَّحِيَّةِ, وَالسَّلامُ عَلَيْكَ وَرَحْمَةُ اللَّهِ وَبَرَكَاتُهُ.","until death came upon you.So, O my master,son of Allah's Messenger;(May) the most favorable greetings and peace be upon you (Along with) Allah's mercy and blessings."
