line id,original language,translation
,"Ziyarat of 
Imam Muhammad al Baqir (AS)",
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah,
the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,السلام عليك يا إمام الهدى,"Peace be on You,
O Imam of Sound advice!"
, السلام عليك يا بدر الدجى,"Peace be on You,
O moon in Darkness!"
,السلام عليك يا كهف التقى,"Peace be on You,
O shelter Of piety!  "
," السلام عليك يا قائد 
أهل التقوى","Peace be on You,
O leader of Pious ones!"
," السلام عليك يا باقر
علم النبيين","Peace be on You,
O revealer of the knowledge of Prophets!"
,السلام عليك يا زين السموات والأرضين ،,"Peace be on You, O prestige Of the skies & the earths! "
, اللهم كما جعلته علما لعبادك,O Allah! In The same way as You made Him as the protector of Your beings
,ومستودعا لحلمك ومترجما لوحيك,"and the Trustee of Your tolerance And the translator of Your messages, "
,فصلي عليه أفضل ما صليت,Send the Choicest blessings on him
,على أحد من ذرية أنبيائك,blessings sent by You On the descendants of Your Prophets
,وأصفيائك ورسلك وأمنائك,and on Your select Beings & on Your Apostles and on Your trustees. 
, يا رب العلمين,O Lord of the Worlds!
