line id verse number,arabic text,english translation text
,,Ziyarat Aale Yasin
,سَلاَمٌ عَلَىٰ آلِ يـٰس,Peace be upon the Household of Yasin.
,اَلسَّلاَمُ عَلَيْكَ يَا دَاعِيَ ٱللَّهِ وَرَبَّانِيَّ آيَاتِهِ,"Peace be upon you, O caller to Allah and interpreter of His Verses."
,اَلسَّلاَمُ عَلَيْكَ يَا بَابَ ٱللَّهِ وَدَيَّانَ دِينِهِ,"Peace be upon you, O door to Allah and applier of His religion."
,اَلسَّلاَمُ عَلَيْكَ يَا خَلِيفَةَ ٱللَّهِ وَنَاصِرَ حَقِّهِ,"Peace be upon you, O viceroy of Allah and backer of His right."
,اَلسَّلاَمُ عَلَيْكَ يَا حُجَّةَ ٱللَّهِ وَدَلِيلَ إِرَادَتِهِ,"Peace be upon you, O Argument of Allah and sign of His volition."
,اَلسَّلاَمُ عَلَيْكَ يَا تَالِيَ كِتَابِ ٱللَّهِ وَتَرْجُمَانَهُ,"Peace be upon you, O reciter of the Book of Allah and its interpreter."
,اَلسَّلاَمُ عَلَيْكَ فِي آنَاءِ لَيْلِكَ وَأَطْرَافِ نَهَارِكَ,Peace be upon you at the hours of Your night and the two ends of Your day.
,اَلسَّلاَمُ عَلَيْكَ يَا بَقِيَّةَ ٱللَّهِ فِي أَرْضِهِ,"Peace be upon you, O herald of Allah on His lands."
,اَلسَّلاَمُ عَلَيْكَ يَا مِيثَاقَ ٱللَّهِ ٱلَّذِي أَخَذَهُ وَوَكَّدَهُ,"Peace be upon you, O covenant of Allah that He has made and confirmed."
,اَلسَّلاَمُ عَلَيْكَ يَا وَعْدَ ٱللَّهِ ٱلَّذِي ضَمِنَهُ,"Peace be upon you, O Promise of Allah that He has assured."
,اَلسَّلاَمُ عَلَيْكَ أَيُّهَا ٱلْعَلَمُ ٱلْمَنْصُوبُ,"Peace be upon you, O appointed pennon,"
,وَٱلْعِلْمُ ٱلْمَصْبُوبُ,"poured knowledge,"
,وَٱلْغَوْثُ وَٱلرَّحْمَةُ ٱلْوَاسِعَةُ,"aid, and expansive mercy."
,وَعْداً غَيْرَ مَكْذُوبٍ,This is verily a promise that shall never be belied.
,اَلسَّلاَمُ عَلَيْكَ حِينَ تَقوُمُ,Peace be upon you whenever you rise (to undertake the mission).
,اَلسَّلاَمُ عَلَيْكَ حِينَ تَقْعُدُ,Peace be upon you whenever you sit.
,اَلسَّلاَمُ عَلَيْكَ حِينَ تَقْرَأُ وَتُبَيِّنُ,Peace be upon you whenever you recite and elucidate.
,اَلسَّلاَمُ عَلَيْكَ حِينَ تُصَلِّي وَتَقْنُتُ,Peace be upon you whenever you offer prayer and supplicate.
,اَلسَّلاَمُ عَلَيْكَ حِينَ تَرْكَعُ وَتَسْجُدُ,Peace be upon you whenever you genuflect and prostrate (yourself for Allah).
,اَلسَّلاَمُ عَلَيْكَ حِينَ تُهَلِّلُ وَتُكَبِّرُ,Peace be upon you whenever you profess Allah’s Godhead and profess His All-greatness.
,اَلسَّلاَمُ عَلَيْكَ حِينَ تَحْمَدُ وَتَسْتَغْفِرُ,Peace be upon you whenever you praise Allah and implore for His forgiveness.
,اَلسَّلاَمُ عَلَيْكَ حِينَ تُصْبِحُ وَتُمْسِي,Peace be upon you whenever you begin and end your day.
