line id verse number,arabic text,english translation text
,,Ziyarat of Imam Zainul Aabidin (a.s)
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Alláh bless Muhammad and the family of Muhammad.
,السَّلاَمُ عَلَيْكَ يَاسَيِّدَالسَّاجِدِيْنَ,Peace be with you O Master of those who prostrate before God
,اَلسَّلاَمُ عَلَيْكَ يَازَيْنَ الْعَابِدِيْنَ,Peace be with you O adornment of worshippers
,اَلسَّلَامُ عَلَيْكَ يَاحَلِيْفَ الْحَسَرَاتِ,Peace be with you O ally of sorrows
,اَلسَّلَامُ عَلَيْكَ يَاذَا لثَّفَنَاتِ,Peace be with you (O who disfigured his forehead and knees in prostration)
,اَلسَّلَامُ عَلَيْكَ يَاصَاحِبَ الْعَبَرَاتِ,Peace be with you O one accompanied by tears
,اَلسَّلَامُ عَلَيْكَ يَااَسِيْرَ الْكُرُبَاتِ,Peace be with you O captive of calamities
,اَلسَّلَامُ عَلَيْكَ يَا أعَظَمَ أَلِ العِبَاءِ,"Peace be on you, O one from The great worshippers!"
,اَلسَّلَامُ عَلَيْكَ يَابْنَ خَامِسِ اَهْلِ الْكِسَاءِ,Peace be with you O son of the 5th element of the people of the cloak
,اَلسَّلَامُ عَلَيْكَ يَابْنَ سَيِّدِ الشُّهَدَاءِ,Peace be with you O son of the master of the martyrs
,اَلسَّلَامُ عَلَيْكَ يَاعِمَادَ الْاَتْقِيَاءِ,Peace be with you O support of the pious
,اَلسَّلَامُ عَلَيْكَ وَرَحْمَةُ اللهِ وَبَرَكَاتُهُ,"Peace, mercy and the blessings of God be with you"
