line id verse number,arabic text,english translation text
,اَلسَّلاَمُ عَلَيْكَ يَا وَلِيَّ ٱللَّهِ,"Peace be upon you, O intimate servant of Allah"
,اَلسَّلاَمُ عَلَيْكَ يَا حُجَّةَ ٱللَّهِ,"Peace be upon you, O Allah’s argument"
,اَلسَّلاَمُ عَلَيْكَ يَا نُورَ ٱللَّهِ فِي ظُلُمَاتِ ٱلٱرْض,"Peace be upon you, O Allah’s light in the darkness of the earth"
,اَلسَّلاَمُ عَلَيْكَ يَا بْنَ رَسُولِ ٱللَّهِ,"Peace be upon you, O son of Allah’s Messenger"
,اَلسَّلاَمُ عَلَيْكَ وَعَلَىٰ آبَائِكَ,Peace be upon you and upon your fathers
,اَلسَّلاَمُ عَلَيْكَ وَعَلَىٰ اْبنَائِكَ,Peace be upon you and upon your descendants
,اَلسَّلاَمُ عَلَيْكَ وَعَلَىٰ اوْلِيَائِكَ,Peace be upon you and upon your loyalists
,"اقمْتَ ٱلصَّلاَة
اشْهَدُ انَّكَ قَدْ","I bear witness that you performed the prayers,"
,وَآتَيْتَ ٱلزَّكَاةَ,"defrayed the poor-rate,"
,وَا مَرْتَ بِٱلْمَعْرُوفِ,"enjoined the right,"
,وَنَهَيْتَ عَنِ ٱلْمُنْكَرِ,"forbade the wrong,"
,وَتَلَوْتَ ٱلْكِتَابَ حَقَّ تِلاَوَتِهِ,"recited the Book as it should be recited,"
,وَجَاهَدْتَ فِي ٱللَّهِ حَقَّ جِهَادِهِ,"strove for Allah as exactly as striving should be,"
,وَصَبَرْتَ عَلَىٰ ٱلاذَىٰ فِي جَنْبِهِ,and endured harm for His sake
,حَتَّىٰ اتَاكَ ٱلْيَقِينُ,until death came upon you.
,اتَيْتُكَ زَائِراً,"I have come to you, visiting you,"
,عَارِفاً بِحَقِّكَ,"recognizing your right,"
,مُوَالِياً لاِوْلِيَائِكَ,"declaring loyalty to your loyalists,"
,مُعَادِياً لاِعْدَائِكَ,and incurring the animosity of your enemies;
,فَٱشْفَعْ لِي عِنْدَ رَبِّكَ,"so, (please) intercede for me with Your Lord."
