line id verse number,arabic text,english translation text
,"زِيَارَاتْ اَلإِمَامْ اَلحَسَنْ
(عَلَيْهِ اَلسَلاَم)","The Ziyarah of Imam Hassan al-Mujtaba
(peace be upon him)"
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah,
the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Alláh bless Muhammad and the family of Muhammad.
,اَلسَّلامُ عَلَيْكَ يَابْنَ رَسُوْلِ رَبِّ الْعَالَمِيْنَ,"Peace be on you, O son of the Messenger of the Lord of the Worlds"
,اَلسَّلامُ عَلَيْكَ يَابْنَ اَمِيْرِ الْمُؤْمِنِيْنَ,"Peace be on you, O son of the Commander of the Faithful"
,اَلسَّلامُ عَلَيْكَ يَابْنَ فَاطِمَةَ الزَّهْرآءِ,"Peace be on you, O son of Fatima al-Zahra"
,اَلسَّلامُ عَلَيْكَ يَا حَبِيْبَ اللهِ,"Peace be on you, O Beloved of Allah"
,اَلسَّلامُ عَلَيْكَ يَا صِفْوَةَ اللهِ,"Peace be on you, O Chosen One of Allah"
,اَلسَّلامُ عَلَيْكَ يَا اَمِيْنَ اللهِ,"Peace be on you, O Trusted of Allah"
,اَلسَّلامُ عَلَيْكَيَا حُجَّةَ اللهِ,"Peace be on you, O Proof of Allah"
,اَلسَّلامُ عَلَيْكَ يَا نُوْرَ اللهِ,"Peace be on you, O Light of Allah"
,اَلسَّلامُ عَلَيْكَ يَا صِرَاطَ اللهِ,"Peace be on you, O Path of Allah"
,اَلسَّلامُ عَلَيْكَ يَا بَيَانَ حُكْمِ اللهِ,"Peace be on you, O Explicator of the Judgement of Allah"
,اَلسَّلامُ عَلَيْكَ يَا نَاصِرَ دِيْنِ اللهِ,"Peace be on you, O Aid of the Religion of Allah"
,اَلسَّلامُ عَلَيْكَ اَيُّهَا السَّيِّدُ الزَّكِيُّ,"Peace be on you, O pure Master"
,اَلسَّلامُ عَلَيْكَ اَيُّهَا الْبَرُّ الْوَفِيُّ,"Peace be on you, O loyal devotee"
,اَلسَّلامُ عَلَيْكَ اَيُّهَا القَآئِمُ الْاَمِيْنُ,"Peace be on you,
O steadfast trustee"
,اَلسَّلامُ عَلَيْكَ اَيُّهَا العَالِمُ بِالتَّأْوِيْلِ,"Peace be on you, O knower of the interpretation"
,اَلسَّلامُ عَلَيْكَ اَيُّهَا الهَادِيُ الْمَهْدِيُّ,"Peace be on you, O one who is the guide and is guided"
,اَلسَّلامُ عَلَيْكَ اَيُّهَا الطَّاهِرُ الزَّكِيُّ,"Peace be on you, O one who is pure and purified"
,اَلسَّلامُ عَلَيْكَ اَيُّهَا التَّقِيُّ النَّقِيُّ,"Peace be on you, O one who is pious and pure"
,اَلسَّلامُ عَلَيْكَ اَيُّهَا الْحَقُّ الْحَقِيْقُ,"Peace be on you, O absolute truth"
,اَلسَّلامُ عَلَيْكَ اَيُّهَا الصِّدِّيْقُ الشَّهِيْدُ,"Peace be on you, O truthful martyr"
,اَلسَّلامُ عَلَيْكَ يَا اَبَا مُحَمَّدِ الْحَسَنِ بْنِ عَلِيٍّ,"Peace be on you, O Aba Muhammad al-Hassan ibn Ali"
,وَ رَحْمَةُ اللهِ وَ بَرَكَاتُهُ,And may the mercy and blessings of Allah be on you
,,
