line id verse number,arabic text,english translation text
,,Ziyarat Of Syeda Fatima Zehra (SA)
,اَلسَّلاَمُ عَلَيْكِ يَا مُمْتَحَنَةُ,"Peace be upon you, O examined lady."
,اِمْتَحَنَكِ ٱلَّذِي خَلَقَكِ,He Who created you has examined you
,فَوَجَدَكِ لِمَا ٱمْتَحَنَكِ صَابِرَةً,and found that you have passed the examination patiently.
,أَنَا لَكِ مُصَدِّقٌ صَابِرٌ عَلَىٰ مَا أَتَىٰ بِهِ أَبُوكِ وَوَصِيُّهُ صَلَوَاتُ ٱللَّهِ عَلَيْهِمَا,I verify that you were patient about what came upon your father and his his successor peace be upon both of
,وَأَنَا أَسْأَلُكِ إِنْ كُنْتُ صَدَّقْتُكِ,I now beseech you by my belief in you
,إِلاَّ أَلْحَقْتِنِي بِتَصْدِيقِي لَهُمَا,to attach & associate me with my belief in both of them
,لِتُسَرَّ نَفْسِي,so that I will be delighted.
,فَٱشْهَدِي أَنِّي ظَاهِرٌ بِوَلاَيَتِكِ,"So, testify for me that I am totally loyal to you"
,وَوَلاَيَةِ آلِ بَيْتِكِ,and to your Household;
,صَلَوَاتُ ٱللَّهِ عَلَيْهِمْ أَجْمَعينَ,peace of Allah be upon them all.
,اَلسَّلاَمُ عَلَيْكِ يَا بِنْتَ رَسُولِ ٱللَّهِ,"Peace be upon you, O daughter of the Messenger of Allah."
,اَلسَّلاَمُ عَلَيْكِ يَا بِنْتَ نَبِيِّ ٱللَّهِ,"Peace be upon you, O daughter of the Prophet of Allah."
,اَلسَّلاَمُ عَلَيْكِ يَا بِنْتَ حَبِيبِ ٱللَّهِ,"Peace be upon you, O daughter of the most beloved of Allah."
,اَلسَّلاَمُ عَلَيْكِ يَا بِنْتَ خَلِيلِ ٱللَّهِ,"Peace be upon you, O daughter of the Intimate Servant of Allah."
,اَلسَّلاَمُ عَلَيْكِ يَا بِنْتَ صَفيِّ ٱللَّهِ,"Peace be upon you, O daughter of the Choice of Allah."
