line id verse number,arabic text,english translation text
,,Ziyarat Of Bibi Sakina (A.S)
,اَلسَّلاَ مُ عَلَيْكِ يَا بِنْتَ رَسُولِ الله,
,اَلسَّلاَ مُ عَلَيْكِ يَا بِنْتَ سُلْطَانِ الْاَوْصِيَآءِ,
,اَلسَّلاَ مُ عَلَيْكِ يَا بِنْتَ صَاحِبِ الْحَوْضِ وَللِّوَآءِ,
,اَلسَّلاَ مُ عَلَيْكِ يَا بِنْتَ مَنْ عَرَجَ اِلَى السَّمَآءِ,
,وَوَصَلَ اِلَي قَابَ قَوْسَيْنِ اَوْ اَدْنَي,
,اَلسَّلاَ مُ عَلَيْكِ يَا بِنْتَ نَبِيِّ الْهُدَى,
,وَسَيِّدِالْوَرَي وَمُنْقِذِالْعِبَادِ مِنَ الضَّلَالَةِ وَالرَّدَى,
,اَلسَّلاَ مُ عَلَيْكِ يَا بِنْتَ اَكْرَمِ الْعَالَمِينَ حَسَبًا,
,وَّاَفْضَلَهِمْ نَسَبًا وَّاَجْمَلِهِمْ مَنْظَرًا,
,وَّاَسْخَاهُمْ كَفًّا اَشْجَعِهُمْ قَلْبًا,
,وَّاَكْمَلِهِمْ حِلْمًا وَّاَكْثَرِهِمْ عِلْمًا,
,وَّاَثْبَتِهِمْ اَصْلًا وَّاَعْلَاهُمْ ذِكْرٍا,
,وَّاَثْنَاهُمْ ذُخْرًا وَّاَحْمَدِهِمْ وَصْفًا,
,اَلسَّلَامُ عَلَيكِ يَابِنْتَ مَنْ شَرُفَتْ بِهِ مَكَّةُ وَمَنَي,
,اَلسَّلَامُ عَلَيكِ يَابِنْتَ بَحْرِالْعُلُومِ وَكَهْفِ الْفُقَرَآءِ,
,اَلسَّلَامُ عَلَيكِ يَابِنْتَ مَنْ وُّلِدَ فِى الْكَعْبَةَ وَزُوِّجَ فِى السَّمَآءِ,
,اَلسَّلَامُ عَلَيكِ يَابِنْتَ سُلْطَانِ الْاوْصِيَآءِ وَسَيِّدِالْاَوْلِيَآءِ,
,اَلسَّلَامُ عَلَيكِ يَابِنْتَ ثَارِاللهِ وَابْنِ ثَارِهِ,
,اَلسَّلَامُ عَلَيكِ يَابِنْتَ سَيِّدِالشُّهَدَآءِ,
,اَلسَّلَامُ عَلَيكِ يَابِضْعَةَ سَيِّدِ شَبَابِ اَهْلِ الْجَنَّةِ,
,اَلسَّلَامُ عَلَيْكِ يَابِنْتَ فَاطِمَةَ الزَّهرَآءِ سَيِّدَةِ نِسَآءِالْعَالَمِينَ,
,اَلسَّلَامُ عَلَيْكِ يَابِنْتَ خَدِيجَةَ الْكُبْرَى اُمِّ الْمُؤْمِنِينَ,
,اَلسَّلَامُ عَلَيْكِ يَاسَكِينَةُ بِنْتَ اُمِّ رَبَابٍ وَّرَحْمَةُ اللهِ وَبَرَكَاتُهُ,
,اَلسَّلَامُ عَلَيْكِ اَيَّتُهَا التَّقِيَّةُ النَّقِيَّةُ,
,اَلسَّلَامُ عَلَيْكِ اَيَّتُهَاالْفَاضِلَةُ الصَّغْيرَةُ,
,اَلسَّلَامُ عَلَيْكِ اَيَّتُهَا الْكَرِيمَةُ النَّبِيهَةُ,
,اَلسَّلَامُ عَلَيْكِ اَيَّتُهَا الْمَظْلُومَةُ الشَّهِيدَةُ,
,اَلسَّلَامُ عَلَيْكِ اَيَّتُهَا الْبَعِيدَةُ عَنِ الْاَوْطَانِ,
,اَلسَّلَامُ عَلَيْكِ اَيَّتُهَا الْاَسِيرَةُ فِى الْبُلْدَانِ,
,اَلسَّلَامُ عَلَيْكِ يَامُمْتَحَنَةُ بِاِمْتِحَانِ الْعَظِيمَةِ,
,وَفِدَا نَفْسَهَا لِاَبِيهَا بَعْدَ مُكَالَمَاتٍ جَلِيلَةٍ,
,وَّقَالَتْ اَبْ يَا اَبْ مَنِ الَّذِى اَيْتَمَنِى عَلَى صِغَرِسِنِّى,
,اَبْ يَا اَبْ مَنِ الَّذِى قَطَعَ وَرِيدَكَ,
,اَلسَّلَامُ عَلَى مَنْ مَاتَتْ مِنْ شِدَّةِ الشَّوْقِ فِى مَحَبَّةِ سَيَّدِالشُّهَدَآءِ,
,وَقَامَتْ قِيَامَةُ اَهْلِ الْبَيْتِ بِمَوْتِهَافِى خَرَابَةِ الشَّامِ,
,وَهِىَ مَوْضَعُ الْمِحْنَةِ وَالْبَلَآءِ,
,اَلسَّلَامُ عَلَى مَنْ لَّحِقَتْ اِلَى جَدِّهَا وَاَبيهَا فِى دَارِالْكَرَامَةِ وَاللِّقَآءِ وَرَحْمَةُ اللهِ وَبَرَكَاتُهُ,
