line id verse number,arabic text,english translation text
,,Ziyarat Bibi Sakinah Bint Al- Husayn (AS)
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍوَ آلِ مُحَمَّد,O Alláh bless Muhammad and the family of Muhammad.
,اَلسَّلَامُ عَلَيْكِ يَا بِنْتَ سَيِّدِ الْاَنْبِيَاءِ,"Peace be with you O granddaughter of the
master of the Prophets"
,اَلسَّلَامُ عَلَيْكِ يَا بِنْتَ صَحِبِ الْحَوْضِ وَالِّلوَاءِ,Peace be with you O granddaughter of the owner of the heavenly fountain & the [divine] standard
,اَلسَّلَامُ عَلَيْكِ يَا بِنْتَ صَاحِبَ الْمَقَامِ الْمَحْمُوْدِ,Peace be with you O granddaughter of the one who is endowed with the praiseworthy rank
,اَلسَّلَامُ عَلَيْكِ يَا بِنْتَ خَيْرِ خَلْقِ اللهِ,"Peace be with you O granddaughter of the
best of the creation of God"
,اَلسَّلَامُ عَلَيْكِ يَا بِنْتَ يَعْسُوْبِ الدِّيْنِ,Peace be with you O granddaughter of the chief of the religion
,اَلسَّلَامُ عَلَيْكِ يَا بِنْتَ اَمِيْرِ الْمُؤمِنِيْنَ,Peace be with you O granddaughter of the commander of the faithful
,اَلسَّلَامُ عَلَيْكِ يَا بِنْتَ خَلِيْفَةِ سَيِّدِ الْمُرْسَلِيْنَ,"Peace be with you O granddaughter of the successor of the master
of the Messengers"
,اَلسَّلَامُ عَلَيْكِ يَا بِنْتَ فَاطِمَةَ الزَّهْرَاءِ,"Peace be with you O granddaughter of
Fatima al-Zahra"
,اَلسَّلَامُ عَلَيْكِ يَا اُخْتَ الشَّهِيْدَيْنِ,Peace be with you O sister of the two martyrs
,اَلسَّلَامُ عَلَيْكِ يَا بِنْتَ الشَّهِيْدِ,Peace be with you O daughter of the martyr
,يَا سَكِيْنَةُ بِنْتَ الْحُسَيْنِ,O Sakina daughter of Al-Hussain
,وَرَحْمَةُ اللهِ وَبَرَكَاتُهْ,May the Mercy and Blessing of Allah be with you
