line id verse number,arabic text,english translation text
,,"Ziarat of
Holy Prophet (saws)"
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah,
the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Alláh bless Muhammad and the family of Muhammad.
,اَلسَّلاَمُ عَلَيْكَ يَا رَسُولَ اللّهِ,"Peace be upon you,
O Allah’s Messenger."
,وَرَحْمَةُ ٱللَّهِ وَبَرَكَاتُهُ,May Allah’s mercy and blessings be upon you
,اَلسَّلاَمُ عَلَيْكَ يَا مُحَمَّدُ بْنَ عَبْدِٱللَّهِ,"Peace be upon you, O Muhammad, the son of `Abdullah."
,اَلسَّلاَمُ عَلَيْكَ يَا خِيَرَةَ ٱللَّهِ,"Peace be upon you,
O most preferred of Allah."
,اَلسَّلاَمُ عَلَيْكَ يَا حَبِيبَ ٱللَّهِ,"Peace be upon you,
O most-beloved of Allah."
,اَلسَّلاَمُ عَلَيْكَ يَا صِفْوَةَ ٱللَّهِ,"Peace be upon you,
O choicest of Allah."
,اَلسَّلاَمُ عَلَيْكَ يَا اَمِينَ ٱللَّهِ,"Peace be upon you,
O trustee of Allah."
,اَشْهَدُ اَنَّكَ رَسُولُ ٱللَّهِ,"I bear witness that you
are the messenger of Allah"
,وَاَشْهَدُ اَنَّكَ مُحَمَّدُ بْنُ عَبْدِٱللَّهِ,"and I bear witness that
you are Muhammad,
the son of `Abdullah."
,وَاَشْهَدُ اَنَّكَ قَدْ نَصَحْتَ لَاُمَّتِكَ,"And I bear witness that
you have truly well-wished for your nation,"
,وَجَاهَدْتَ فِي سَبيلِ رَبِّكِ,"striven hard in the way
of your Lord,"
,وَعَبَدْتَهُ حَتَّىٰ اَتَاكَ ٱلْيَقينُ,and worshipped Him until death came upon you.
,فَجَزَاكَ ٱللَّهُ يَا رَسُولَ ٱللَّهِ,"May Allah reward you,
O Allah’s Messenger,"
,اَفْضَلَ مَا جَزَىٰ نَبِيّاً عَنْ اُمَّتِهِ,"with the best of that with which He has ever
rewarded a Prophet on behalf of his people."
,اَللَّهُمَّ صَلِّ عَلَىٰ مُحَمِّدٍ وَآلِ مُحَمِّدٍ,"O Allah, please send blessings to Muhammad
and the Household of Muhammad"
,اَفْضَلَ مَا صَلَّيْتَ عَلَىٰإِبْرَاهِيمَ وَآلِ إبرَاهِيمَ,with the best blessings You have ever conferred upon Abraham and the Household of Abraham.
,إِنَّكَ حَمِيدٌ مَجِيدٌ,"Verily, You are All-laudable, All-glorious."
