line id verse number,arabic text,english translation text
,,"Ziyarat of Syeda Fatima
Masooma e Qum (SA)"
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the
All-merciful, the
All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍوَ آلِ مُحَمَّد,"O Alláh bless
Muhammad and the family of Muhammad."
,السَّلاَمُ عَلَى آدَمَ صِفْوَةِ اللَّهِ السَّلاَمُ عَلَى نُوحٍ نَبِيِّ اللَّهِ‏,"Peace be on Adam, the Choice of Allah! Peace be on Noah, the Prophet of Allah,"
,السَّلاَمُ عَلَىإِبْرَاهِيمَ خَلِيلِ اللَّهِ‏,"Peace be on Ibraheem,
the Friend of Allah,"
,السَّلاَمُ عَلَى مُوسَى كَلِيمِ اللَّهِ,"Peace be on Mosa who spoke to Allah,"
,السَّلاَمُ عَلَى عِيسَى رُوحِ اللَّهِ‏,"Peace be on Isa,
the Spirit of Allah."
,السَّلاَمُ عَلَيْكَ يَا رَسُولَ اللَّهِ السَّلاَمُ عَلَيْكَ يَا خَيْرَ خَلْقِ اللَّهِ‏,"Peace be on you, O Messenger of Allah, Peace be on you, O the best of the Mankind"
,السَّلاَمُ عَلَيْكَ يَا صَفِيَّ اللَّهِ‏,"Peace be on you,
O Choice of Allah!"
,السَّلاَمُ عَلَيْكَ يَا مُحَمَّدَ بْنَ عَبْدِ اللَّهِ خَاتَمَ النَّبِيِّينَ‏,"Peace be on you. O Mohammed bin Abdullah, the last of the Prophets!"
,السَّلاَمُ عَلَيْكَ يَا أَمِيرَ الْمُؤْمِنِينَ عَلِيَّ بْنَ أَبِي طَالِبٍ وَصِيَّ رَسُولِ اللَّهِ‏,"Peace be on you, O Ali bin Abi Talib, Commander of the faithful and the Successor of the Messenger of Allah."
,السَّلاَمُ عَلَيْكِ يَا فَاطِمَةُ سَيِّدَةَ نِسَاءِ الْعَالَمِينَ‏,"Peace be on you,
O Fatimah, the Leader of
the women of the worlds,"
,السَّلاَمُ عَلَيْكُمَا يَا سِبْطَيْ نَبِيِّ الرَّحْمَةِ وَ سَيِّدَيْ شَبَابِ أَهْلِ الْجَنَّةِ,"Peace be on you, O the grandsons of the Prophet of Mercy, and the leaders of the youth of Paradise"
,السَّلاَمُ عَلَيْكَ يَا عَلِيَّ بْنَ الْحُسَيْنِ سَيِّدَ الْعَابِدِينَ وَ قُرَّةَ عَيْنِ النَّاظِرِينَ‏,"Peace be on you, O Ali bin Husain, the leader of worshippers, O Coolness of investigating eyes,"
,السَّلاَمُ عَلَيْكَ يَا مُحَمَّدَ بْنَ عَلِيٍّ بَاقِرَ الْعِلْمِ بَعْدَ النَّبِيِ‏,"Peace be on you, O Mohammed bin Ali, O the explorer of the knowledge"
,السَّلاَمُ عَلَيْكَ يَا جَعْفَرَ بْنَ مُحَمَّدٍ الصَّادِقَ الْبَارَّ الْأَمِينَ‏,"Peace be on you, O Jafar bin Mohammed, the truthful the benign, the trustworthy,"
,السَّلاَمُ عَلَيْكَ يَا مُوسَى بْنَ جَعْفَرٍ الطَّاهِرَ الطُّهْرَ,"Peace be on you, O Mosa bin Jafar, the pure, the purified,"
,السَّلاَمُ عَلَيْكَ يَا عَلِيَّ بْنَ مُوسَى الرِّضَا الْمُرْتَضَى‏,"Peace be on you, O Ali bin Mosa, the pleased, the gratified,"
,السَّلاَمُ عَلَيْكَ يَا مُحَمَّدَ بْنَ عَلِيٍّ التَّقِيَّ‏,"Peace be on you, O Mohammed bin Ali, the pious one"
,السَّلاَمُ عَلَيْكَ يَا عَلِيَّ بْنَ مُحَمَّدٍ النَّقِيَّ النَّاصِحَ الْأَمِينَ‏,"Peace be on you, O Ali bin Mohammed, the pure, the advising guardian, and the trustworthy"
,السَّلاَمُ عَلَيْكَ يَا حَسَنَ بْنَ عَلِيٍّ ‏,"Peace be on Hasan bin Ali,"
,السَّلاَمُ عَلَى الْوَصِيِّ مِنْ بَعْدِهِ‏,Peace be on the successor after him
,اللَّهُمَّ صَلِّ عَلَى نُورِكَ وَ سِرَاجِكَ وَ وَلِيِّ وَلِيِّكَ وَ وَصِيِّ وَصِيِّكَ وَ حُجَّتِكَ عَلَى خَلْقِكَ‏,"O Allah, bless your light, the successor and vicegerent of Thy Messenger and Thy decisive argument over mankind"
