line id verse number,arabic text,english translation text
,,Ziyarat Imam Ali Naqi (AS)
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍوَ آلِ مُحَمَّد,O Alláh bless Muhammad and the family of Muhammad.
,اَلسَّلاَمُ عَلَيْكَ يَا وصيَّ الاوصياء,"Peace upon you,
O guardian of guardians"
,اَلسَّلاَمُ عَلَيْكَيَا اِمَامَ الْاَتْقِيَاءِ,"Peace be upon the
leader of the pure"
,اَلسَّلاَمُ عَلَيْكَ يَا حُجَةَ اللهِ عَلىَ الْلَائِقِ اَجْمَعِيْنَ,"Peace be upon you,
O Allah's argument, on all that is good"
,اَلسَّلاَمُ عَلَيْكَ يَا خَلَفَ اَئِمَّةِ الدِّيْنِ,"Peace upon you,
O successor of the religion"
,اَلسَّلاَمُ عَلَيْكَ يَا اَبَا الْحَسَنِ يَا عَلِيَّ بْنَ مُحَمَّد,"Peace upon you
O Abul Hassan, Ali bin Mohammed"
,اَلسَّلاَمُ عَلَيْكَ يَا اَيُّهَا النَّقِيُّ الْهَادِيُ,"Peace be on you,
O pure and quiet"
,اَلسَّلاَمُ عَلَيْكَ وَرَحْمَةُ اللهِ وَبَرَكَاتُهُ,"Peace be upon you and God's mercy and
blessings be upon you"
