line id verse number,arabic text,english translation text
,,Ziyarat of Imam Redha (AS)
,اَلسَّلاَمُ عَلَيْكَ يَا وَلِيَّ ٱللَّهِ,"Peace be upon you, O Allah’s friend."
,اَلسَّلاَمُ عَلَيْكَ يَا حُجَّةَ ٱللَّهِ,"Peace be upon you, O Allah’s argument."
,اَلسَّلاَمُ عَلَيْكَ يَا نُورَ ٱللَّهِ فِي ظُلُمَاتِ ٱلأَرْضِ,"Peace be upon you, O Allah’s light in the darkness of the earth."
,اَلسَّلاَمُ عَلَيْكَ يَا عَمُودَ ٱلدِّينِ,"Peace be upon you, O pillar of the religion."
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ آدَمَ صَفْوَةِ ٱللَّهِ,"Peace be upon you, O inheritor of Adam the choice of Allah."
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ نُوحٍ نَبِيِّ ٱللَّهِ,"Peace be upon you, O inheritor of Noah the prophet of Allah."
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ إِبْرَاهِيمَ خَلِيلِ ٱللَّهِ,"Peace be upon you, O inheritor of Abraham the intimate friend of Allah."
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ إِسْمَاعيلَ ذَبيحِ ٱللَّهِ,"Peace be upon you, O inheritor of Ishmael the slain for the sake of Allah."
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ مُوسَىٰ كَلِيمِ ٱللَّهِ,"Peace be upon you, O inheritor of Moses the spoken by Allah."
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ عِيسَىٰ رُوحِ ٱللَّهِ,"Peace be upon you, O inheritor of Jesus the spirit of Allah."
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ مُحَمَّدٍ رَسُولِ ٱللَّهِ,"Peace be upon you, O inheritor of Muhammad the messenger of Allah."
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ أَمِيرِ ٱلْمُؤْمِنِينَ,"Peace be upon you, O inheritor of the Commander of the Faithful"
,عَلِيٍّ وَلِيِّ ٱللَّهِ,`Ali the authority of Allah
,وَوَصِيِّ رَسُولِ رَبِّ ٱلْعَالَمِينَ,and the successor of the Messenger of the Lord of the worlds.
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ فَاطِمَةَ ٱلزَّهْرَاءِ,"Peace be upon you, O inheritor of Fatimah the luminous lady."
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ ٱلْحَسَنِ وَٱلْحُسَيْنِ,"Peace be upon you, O inheritor of al-Hasan and al-Husayn"
,سَيِّدَيْ شَبَابِ أَهْلِ ٱلْجَنَّةِ,the two chiefs of the youth of Paradise.
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ عَليِّ بْنِ ٱلْحُسَيْنِ زَيْنِ ٱلْعَابِدِينَ,"Peace be upon you, O inheritor of `Ali the son of al-Husayn the adornment of the worshippers."
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ مُحَمَّدِ بْنِ عَلِيٍّ,"Peace be upon you, O inheritor of Muhammad the son of `Ali"
,بَاقِرِ عِلْمِ ٱلأَوَّلِينَ وَٱلآخِرِينَ,the splitter of the knowledge of the past and the last generations.
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ جَعْفَرِ بْنِ مُحَمَّدٍ,"Peace be upon you, O inheritor of Ja`far the son of Muhammad"
,ٱلصَّادِقِ ٱلْبَارِّ,the veracious and dutiful.
,اَلسَّلاَمُ عَلَيْكَ يَا وَارِثَ مُوسَىٰ بْنِ جَعْفَرٍ,"Peace be upon you, O inheritor of Musa the son of Ja`far."
,اَلسَّلاَمُ عَلَيْكَ أَيُّهَا ٱلصِّدِّيقُ ٱلشَّهِيدُ,"Peace be upon you, O ever-truthful and martyr."
,اَلسَّلاَمُ عَلَيْكَ أَيُّهَا ٱلْوَصِيُّ ٱلْبَارُّ ٱلتَّقِيُّ,"Peace be upon you, O dutiful and pious successor."
,أَشْهَدُ أَنَّكَ قَدْ أَقَمْتَ ٱلصَّلاَةَ,"I bear witness that you performed the prayers,"
,وَآتَيْتَ ٱلزَّكَاةَ,"defrayed the poor-rate (and alms),"
,وَأَمَرْتَ بِٱلْمَعْرُوفِ,"enjoined the right,"
,وَنَهَيْتَ عَنِ ٱلْمُنْكَرِ,"forbade the wrong,"
,وَعَبَدْتَ ٱللَّهَ مُخْلِصاً حَتَّىٰ أَتَاكَ ٱلْيَقِينُ,and serve Allah sincerely until death came upon you.
,اَلسَّلاَمُ عَلَيْكَ يَا أَبَا ٱلْحَسَنِ,"Peace be upon you, O Abu’l-Hasan."
,وَرَحْمَةُ ٱللَّهِ وَبَرَكَاتُهُ,Allah’s mercy and blessings be upon you.
