line id verse number,arabic text,english translation text
,,DUA KUMAYL
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah, the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,اللَّهُمَّ إِنِّي أَسْألُكَ بِرَحْمَتِكَ الَّتِي وَسِعَتْ كُلَّ شَيْءٍ,"O Allah, I ask You by Your mercy, which embraces all things;"
,وَبِقُوَّتِكَ الَّتِي قَهَرْتَ بِهَا كُلَّ شَيْءٍ,"And by Your strength, through which You dominatest all things,"
,وَخَضَعَ لَهَا كُلُّ شَيْءٍ، وَذَلَّ لَهَا كُلُّ شَيْءٍ,And toward which all things are humble; And before which all things are lowly;
,وَبِجَبرُوتِكَ الَّتِي غَلَبْتَ بِهَا كُلَّ شَيْءٍ,"And by Your invincibility through which You overwhelmest all things,"
,وَبِعِزَّتِكَ الَّتِي لا يَقُومُ لَهَا شَيْءٌ,"And by Your might, which nothing can resist;"
,وَبِعَظَمَتِكَ الَّتِي مَلأَتْ كُلَّ شَيْءٍ,"And by Your tremendousness, which has filled all things;"
,وَبِسُلْطَانِكَ الَّذِي عَلاَ كُلَّ شَيْءٍ,"by Your force, which towers over all things;"
,وَبِوَجْهِكَ الْبَاقِي بَعْدَ فَنَاءِ كُلِّ شَيْءٍ,"And by Your face, which subsists after the annihilation of all things,"
,وَبِأَسْمَائِكَ الَّتِي مَلأَتْ أَرْكَانَ كُلِّ شَيْءٍ,"And by Your Names, which have filled the foundations of all things;"
,وَبِعِلْمِكَ الَّذِي أَحَاطَ بِكُلِّ شَيْءٍ,"And by Your knowledge, which encompasses all things;"
,وَبِنُورِ وَجْهِكَ الَّذِي أَضَاءَ لَهُ كُلُّ شَيْءٍ,"And by the light of Your face, through which all things are illumined!"
,يَا نُورُ يَا قُدُّوسُ,O Light! O All-holy!
,يَا أَوَّلَ الأَوَّلِينَ، وَيَا آخِرَ الآخِرِينَ,"O First of those who are first, And O Last of those who are last!"
,اللَّهُمَ اغْفِرْ لِي الذُّنُوبَ الَّتِي تَهتِكُ الْعِصَمَ,"O Allah, forgive me those sins which tear apart safeguards!"
,اللَّهُمَ اغْفِرْ لِي الذُّنُوبَ الَّتِي تُنْزِلُ النِّقَمَ,"O Allah, forgive me those sins which draw down adversities!"
,اللَّهُمَ اغْفِرْ لِي الذُّنُوبَ الَّتِي تُغيِّرُ النِّعَمَ,"O Allah, forgive me those sins which alter blessings!"
,اللَّهُمَّ اغْفِرْ لِي الذُّنُوبَ الَّتِي تَحْبِسُ الدُّعَاءَ,O Allah forgive me those sins which hold back supplication!
,اللَّهُمَّ اغْفِرْ لِي الذُّنُوبَ الَّتِي تَقْطَعُ الرَّجَاءَ,O Allah forgive me those sins which cut down the hopes!
,اللَّهُمَّ اغْفِرْ لِي الذُّنُوبَ الَّتِي تُنْزِلُ البَلاءَ,"O Allah, forgive me those sins which draw down tribulation!"
