line id verse number,arabic text,english translation text
,,Dua Tawassul
,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,"In the Name of Allah,
the All-merciful, the All-compassionate"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّد,O Allah bless Muhammad and the family of Muhammad.
,اَللَّهُمَّ إِنِّي اسْالُكَ وَاتَوَجَّهُ إِلَيْكَ,"O Allah, I beseech You and turn my face toward You"
,بِنَبِيِّكَ نَبِيِّ ٱلرَّحْمَةِ,"in the name of Your Prophet; the Prophet of Mercy,"
,مُحَمَّدٍ صَلَّىٰ ٱللَّهُ عَلَيْهِ وَآلِهِ,Muhammad—may Allah send blessings to him and his Household.
,يَا ابَا ٱلْقَاسِمِ,O Abu’l-Qasim!
,يَا رَسُولَ ٱللَّهِ,O Allah’s Messenger!
,يَا إِمَامَ ٱلرَّحْمَةِ,O Chief of Mercy!
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our master and chief!
,إِنَّا تَوَجَّهْنَا وَٱسْتَشْفَعْنَا,"We are turning our faces toward You, seeking Your intercession"
,وَتَوَسَّلْنَا بِكَ إِلَىٰ ٱللَّهِ,and Your advocacy for us before Allah;
,وَقَدَّمْنَاكَ بَيْنَ يَدَيْ حَاجَاتِنَا,and we are presenting You [as our intermediary] for the settlement of our needs.
,يَا وَجِيهاً عِنْدَ ٱللَّهِ,"O well-esteemed with Allah,"
,إِشْفَعْ لَنَا عِنْدَ ٱللَّهِ,intercede for us before Allah.
,يَا ابَا ٱلْحَسَنِ,O Aba’l-Hasan!
,يَا امِيرَ ٱلْمُؤْمِنِينَ,O commander of the Believers!
,يَا عَلِيُّ بْنَ ابِي طَالِبٍ,"O `Ali, son of Abu-Talib!"
,يَا حُجَّةَ ٱللَّهِ عَلَىٰ خَلْقِهِ,O Allah’s Argument against His creatures!
,يَا سَيِّدَنَا وَمَوْلاَنَا,O our master and chief!
